NOMOR PRODUK,CODE,JENIS,NAMA,SATUAN,HARGA,VENDOR,STATUS
512,MAT-CSV-00573,,"PIPA CONDUIT GAL 3/4"" GALVANIZED",BATANG,78000,,ACTIVE
513,MAT-CSV-00574,,"FLEXIBLE CONNECTOR 3/4"" GALVANIZED",PCS,8500,,ACTIVE
514,MAT-CSV-00575,,"FLEXIBLE CONDUIT 3/4"" BARTON",ROLL,550000,,ACTIVE
515,MAT-CSV-00576,,"SOCKET PIPA CONDUIT 3/4"" GALVANIZED",PCS,8500,,ACTIVE
516,MAT-CSV-00577,,"UNION CONDUIT 3/4"" GALVANIZED",PCS,20000,,ACTIVE
517,MAT-CSV-00578,,"UNISTROUT PIPE 3/4""",PCS,20000,,ACTIVE
518,MAT-CSV-00579,,CLAMP UNISTROUT PIPE 3/4,PACK,200000,,ACTIVE
519,MAT-CSV-00580,,"KABEL TIES 300X3,6MM",PACK,30000,,ACTIVE
520,MAT-CSV-00581,,KABEL SCUN Y1MM MERAH,PACK,25000,,ACTIVE
521,MAT-CSV-00582,,KABEL SCUN Y1MM BIRU,PACK,25000,,ACTIVE
522,MAT-CSV-00583,,"KABEL MARKER 0-9 FOR CABLE 2,25MM",ROLL/SET,35000,,ACTIVE
523,MAT-CSV-00584,,VENTILASI UDARA UNTUK PANEL,PCS,125000,,ACTIVE
524,MAT-CSV-00585,,PLAT CS 10MM 4'X8',LEMBAR,3429900,KARYABENTENG BARU SEMESTA,ACTIVE
525,MAT-CSV-00586,,PLAT CS 2MM 4'X8',LEMBAR,754800,,ACTIVE
526,MAT-CSV-00587,,GEROBAK ARTCO,UNIT,750000,KARYA WARGI,ACTIVE
527,MAT-CSV-00588,,MATA ROOFING 8MM TOMECO,PCS,13000,,ACTIVE
528,MAT-CSV-00589,,MATA OBENG TEKIRO,PCS,13000,,ACTIVE
529,MAT-CSV-00592,,"JASA ROLL PIPA, PLAT JACKET",LOT,2630000,MITRA BAJA PERSADA,ACTIVE
530,MAT-CSV-00593,,"JASA MANPOWER WELDING FABRIKASI PLAT, PIPA",LOT,7000000,,ACTIVE
531,MAT-CSV-00594,,ARGON LPG OXIGEN,LOT,3059500,,ACTIVE
532,MAT-CSV-00595,,BOLT NUT SS304 ETC,LOT,1000000,,ACTIVE
533,MAT-CSV-00596,,MATERIAL PIPA GALVANIS SCH 40x6M,BATANG,1850000,,ACTIVE
534,MAT-CSV-00597,,ATAP GALVALUME AZ 100 G550,LEMBAR,510000,PT MAJAMAKMUR SUKSES MANDIRI,ACTIVE
535,MAT-CSV-00598,,TYPE 920 (11 GELOMBANG),PCS,0,,ACTIVE
536,MAT-CSV-00599,,"TEBAL 0,40 TCT",PCS,0,,ACTIVE
537,MAT-CSV-00600,,LEBAR 920mm,PCS,0,,ACTIVE
538,MAT-CSV-00601,,PANJANG 4m,PCS,0,,ACTIVE
539,MAT-CSV-00602,,STAMPER PAVING/KODOK,UNIT,7150000,VICTOR TEKNIK MANDIRI,ACTIVE
540,MAT-CSV-00603,,BENSIN,PCS,0,,ACTIVE
541,MAT-CSV-00604,,ENGINE GP160 HONDA,PCS,0,,ACTIVE
542,MAT-CSV-00605,,TERMINAL BROCO 4LB,PCS,47500,,ACTIVE
543,MAT-CSV-00606,,KEPALA STEKER BROCO,PCS,13000,,ACTIVE
544,MAT-CSV-00607,,"GERINDA MAKTEC 4""",UNIT,405000,,ACTIVE
545,MAT-CSV-00608,,"NYYHY 2X2,5 ETERNA SERABUT @50M",ROLL,765000,,ACTIVE
546,MAT-CSV-00609,,ROOFING KUNING 12X75 C250,BOX,173750,PD PANJI RIMBA TEKNIK,ACTIVE
547,MAT-CSV-00610,,"TEE SGP CS LAS 1/2"" SCH 20",PCS,16000,,ACTIVE
548,MAT-CSV-00611,,KABEL DUCT,BATANG,20000,TOKO SEMI ELECTRIC,ACTIVE
549,MAT-CSV-00612,,ELBOW PVC,PCS,2000,,ACTIVE
550,MAT-CSV-00613,,TANG KOMBINASI,PCS,36000,,ACTIVE
551,MAT-CSV-00614,,PIPA KABEL,PCS,20000,,ACTIVE
552,MAT-CSV-00615,,TANG POTONG,PCS,25000,,ACTIVE
553,MAT-CSV-00616,,ENGSEL SCHNEIDER,PCS,25000,,ACTIVE
554,MAT-CSV-00617,,SERO SCHNEIDER,PCS,35000,,ACTIVE
555,MAT-CSV-00618,,MATERIAL DONGJIN ELECTRICAL,LOT,300000,,ACTIVE
556,MAT-CSV-00619,,"NYM 2x1,5",ROLL,290000,TOKO SEMI ELECTRIC,ACTIVE
557,MAT-CSV-00620,,FLEXIBLE,ROLL,75000,,ACTIVE
558,MAT-CSV-00621,,STOP AC BROCO,SET,60000,,ACTIVE
559,MAT-CSV-00622,,KLEM PIPA,PACK,100000,,ACTIVE
560,MAT-CSV-00623,,MCB SCHNEIDER BIRU SPLN 16A,PCS,35000,,ACTIVE
561,MAT-CSV-00624,,MCB SCHNEIDER BIRU SPLN 2A,PCS,25000,,ACTIVE
562,MAT-CSV-00625,,MCB SCHNEIDER BIRU SPLN 25A,PCS,35000,,ACTIVE
563,MAT-CSV-00626,,TOOL DRIL BIT ALAT PENGASAH MATA BOR,SET,20000,,ACTIVE
564,MAT-CSV-00627,,"KEPALA BOR CHUCK 1,5-10MM",SET,25000,,ACTIVE
565,MAT-CSV-00628,,MESIN LAS WELDMAX POWER251 1PASS,UNIT,4000000,VICTOR TEKNIK MANDIRI,ACTIVE
566,MAT-CSV-00630,,"METERAN 7,5 M",PCS,45000,,ACTIVE
567,MAT-CSV-00631,,TANG POTONG,PCS,47500,,ACTIVE
568,MAT-CSV-00632,,TANG KOMBINASI,PCS,52500,,ACTIVE
569,MAT-CSV-00633,,OBENG +-,PCS,32500,,ACTIVE
570,MAT-CSV-00634,,TESPEN,PCS,15000,,ACTIVE
571,MAT-CSV-00635,,TANG AMPERE,PCS,950000,,ACTIVE
572,MAT-CSV-00636,,MASKING TAPE BESAR,PCS,9500,,ACTIVE
573,MAT-CSV-00637,,"KABEL POWER NYYHY 3X2,5 SERABUT",ROLL,750000,,ACTIVE
574,MAT-CSV-00638,,TOOL BOX ALAT STANDAR,UNIT,100000,,ACTIVE
575,MAT-CSV-00639,,TANG PRESS,PCS,325000,,ACTIVE
576,MAT-CSV-00640,,"MATA BOR NACHI 2,0",PCS,15700,,ACTIVE
577,MAT-CSV-00641,,"MATA BOR NACHI 4,0",PCS,20000,,ACTIVE
578,MAT-CSV-00642,,"MATA BOR NACHI 5,0",PCS,29000,,ACTIVE
579,MAT-CSV-00643,,STOP KONTAK TERMINAL BROCO 4 LB,PCS,47500,,ACTIVE
580,MAT-CSV-00644,,STEKER KEPALA COLOKAN BROCO,PCS,13000,,ACTIVE
581,MAT-CSV-00645,,ELECTRIC TAPE NITTO,PCS,8000,,ACTIVE
582,MAT-CSV-00646,,KUNCI INGGRIS SEDANG,PCS,105000,,ACTIVE
583,MAT-CSV-00647,,KUNCI PAS / RING NO 24,PCS,70000,,ACTIVE
584,MAT-CSV-00648,,26,PCS,82000,,ACTIVE
585,MAT-CSV-00649,,27,PCS,91000,,ACTIVE
586,MAT-CSV-00650,,29,PCS,110000,,ACTIVE
587,MAT-CSV-00651,,STANG LAS KURTHAUFE 600 A,PCS,55000,,ACTIVE
588,MAT-CSV-00652,,TANG MASA AMERICAN EARTH CLAMP 500 A,PCS,40000,,ACTIVE
589,MAT-CSV-00653,,KAPUR BESI F-PREMIUM,BOX,14000,,ACTIVE
590,MAT-CSV-00654,,"KUAS ETERNA 2""",PCS,3500,,ACTIVE
591,MAT-CSV-00655,,"ISI ROLL CAT 4"" PINEHILL (PINK/MERAH)",BOX,40000,,ACTIVE
592,MAT-CSV-00656,,CUTTING TORCH KOIKE MK-100,SET,325000,,ACTIVE
593,MAT-CSV-00657,,"SELANG : MASING"" 20M",M,17500,,ACTIVE
594,MAT-CSV-00658,,REGULATOR OKSIGEN YAMATO,PCS,135000,,ACTIVE
595,MAT-CSV-00659,,REGULATOR LPG YAMATO,PCS,135000,,ACTIVE
596,MAT-CSV-00660,,NOZZLE KOIKE CUTTING TIP NO 5,PCS,45000,,ACTIVE
597,MAT-CSV-00661,,NOZZLE KOIKE CUTTING TIP NO 3,PCS,40000,,ACTIVE
598,MAT-CSV-00662,,"NOZZLE PLASMA 1,8",SET,65000,,ACTIVE
599,MAT-CSV-00663,,ISI CUTTER STANDARD,PACK,9000,,ACTIVE
600,MAT-CSV-00664,,PAINT MARKER SNOWMAN BLACK,PACK,165000,,ACTIVE
601,MAT-CSV-00665,,PAINT MARKER SNOWMAN WHITE,PACK,165000,,ACTIVE
602,MAT-CSV-00666,,S.TANGAN KATUN 5 BENANG,LUSIN,20000,,ACTIVE
603,MAT-CSV-00667,,S.TANGAN KOMBINASI,LUSIN,185000,,ACTIVE
604,MAT-CSV-00668,,KABEL TRAY + SAMBUNGAN 3000X100X50,BATANG,286000,SURYA INDAH ABADI,ACTIVE
605,MAT-CSV-00669,,OUTSIDE + SAMBUNGAN 100X50,BATANG,129000,,ACTIVE
606,MAT-CSV-00670,,INSIDE + SAMBUNGAN 100X50,BATANG,135000,,ACTIVE
607,MAT-CSV-00671,,ELBOW TRAY + SAMBUNGAN 100X50,PCS,180000,,ACTIVE
608,MAT-CSV-00672,,TRAY 300X100X50 + SAMBUNGAN,BATANG,286000,,ACTIVE
609,MAT-CSV-00673,,"NYY 4X2,5 SUPREME ONGKIR",M,31521,,ACTIVE
610,MAT-CSV-00674,,"Sprocket 120-2-18T (Double), C TYPE",UNIT,1800000,PT AKHONA UNITEK INDONESIA,ACTIVE
611,MAT-CSV-00675,,T:,PCS,0,,ACTIVE
612,MAT-CSV-00676,,C:,PCS,0,,ACTIVE
613,MAT-CSV-00677,,BL:,PCS,0,,ACTIVE
614,MAT-CSV-00678,,BD:,PCS,0,,ACTIVE
615,MAT-CSV-00679,,PCD:,PCS,0,,ACTIVE
616,MAT-CSV-00680,,OD:,PCS,0,,ACTIVE
617,MAT-CSV-00681,,"Sprocket 120-2-60T (Double), B TYPE",UNIT,13000000,,ACTIVE
618,MAT-CSV-00688,,ADDITIONAL WORK :,PCS,0,,ACTIVE
619,MAT-CSV-00689,,-LUBANG ANGIN D120 = 4 PCS X 125RB,PCS,125000,,ACTIVE
620,MAT-CSV-00690,,-SPI 32 x 16 x 90 (SPROCKET BESAR),PCS,50000,,ACTIVE
621,MAT-CSV-00691,,-LUBANG SPI + TAP,PCS,200000,,ACTIVE
622,MAT-CSV-00692,,-LUBANG SPI (SPROCKET KECIL),PCS,160000,,ACTIVE
623,MAT-CSV-00693,,JASA PEMBUATAN MIXER SS304 T:6MM,LOT,72000000,MITRA BAJA PERSADA,ACTIVE
624,MAT-CSV-00694,,DIMENSI :,PCS,0,,ACTIVE
625,MAT-CSV-00695,,LEBAR : 1400MM x PANJANG : 2285MM,PCS,0,,ACTIVE
626,MAT-CSV-00696,,TINGGI : 1515MM,PCS,0,,ACTIVE
627,MAT-CSV-00697,,"ROLL PIPA 3"" Rd 703MM",PCS,150000,,ACTIVE
628,MAT-CSV-00698,,"BELAH PIPA 3""",PCS,130000,,ACTIVE
629,MAT-CSV-00699,,ROLL PLATE T:6MM 5'X20' Ras : 780MM,PCS,970000,,ACTIVE
630,MAT-CSV-00700,,ROLL SIKU 50X50 Rd. 703MM (TOE OUT),PCS,90000,,ACTIVE
631,MAT-CSV-00701,,POTONG FB 8X80X650+BOR 10MM 3,PCS,75000,,ACTIVE
632,MAT-CSV-00702,,POTONG FB 8X80X100+BOR 10MM 2,PCS,65000,,ACTIVE
633,MAT-CSV-00703,,"CONSUMABLE, KAWAT CUTTING BAPING",LOT,2200000,,ACTIVE
634,MAT-CSV-00704,,"JASA FABRIKASI, ASSEMBLY, INSTAL, DIAL AGITATOR",UNIT,28530000,PT RYSHAFA GLOBAL MANDIRI,ACTIVE
635,MAT-CSV-00705,,"GALVALUME,ABU MAJA TCT 1020x0,40",LEMBAR,95000,PT MAJAMAKMUR SUKSES MANDIRI,ACTIVE
636,MAT-CSV-00706,,"GALVALUME,ABU MAJA TCT 1020x0,40",LEMBAR,95000,,ACTIVE
637,MAT-CSV-00708,,TYPE : MAJADECK,PCS,0,,ACTIVE
638,MAT-CSV-00709,,"CUTTING DISC 4"" X 1,2MM WD",DUS,2782,INTI PERKAKAS GLODOK,ACTIVE
639,MAT-CSV-00710,,H-BEAM 150 x 12m (potong 3) @4M,BATANG,6671100,KARYABENTENG BARU SEMESTA,ACTIVE
640,MAT-CSV-00711,,H-BEAM 150 x 6m (potong 2) @4M & 2M,BATANG,3341100,,ACTIVE
641,MAT-CSV-00712,,WF 150 x 6m (potong 2) @3M,BATANG,1243200,,ACTIVE
642,MAT-CSV-00713,,00/01/1900,-,0,,ACTIVE
643,MAT-CSV-00714,,WF 200 x 100 x 6m,BATANG,2031300,,ACTIVE
644,MAT-CSV-00715,,WF 250 x 100 x 6m,BATANG,2908200,,ACTIVE
645,MAT-CSV-00716,,WF 250 x 100 x 12m,BATANG,5805300,,ACTIVE
646,MAT-CSV-00717,,UNP 150 x 75 x 6m,BATANG,1209900,,ACTIVE
647,MAT-CSV-00718,,SIKU 60 x 60 x 6 x 6m,BATANG,438450,,ACTIVE
648,MAT-CSV-00719,,SIKU 40 x 40 x 4 x 6m,BATANG,194250,,ACTIVE
649,MAT-CSV-00720,,PLAT STRIP 6 x 100,BATANG,382950,,ACTIVE
650,MAT-CSV-00721,,"PIPA 3"" x 3,5mm",BATANG,743700,,ACTIVE
651,MAT-CSV-00722,,PLAT BORDESH 4' x 8' x 4mm,LEMBAR,1665000,,ACTIVE
652,MAT-CSV-00723,,CAT SEIV 6610 PRIMER GREY,PAIL,985000,DUNIA BARU,ACTIVE
653,MAT-CSV-00724,,CAT SEIV 480 BLUE PEACOK,PAIL,1260000,,ACTIVE
654,MAT-CSV-00725,,CAT TEMBOK VINILEX 300 WHITE,PAIL,825000,,ACTIVE
655,MAT-CSV-00726,,THINNER KW1,JRGN,380000,,ACTIVE
656,MAT-CSV-00727,,ROOFING KUNING 12X50 KARET,BOX,144000,TOKO BAUT JAYA MAKMUR,ACTIVE
657,MAT-CSV-00728,,ROOFING KUNING 12X25 KARET,BOX,134000,,ACTIVE
658,MAT-CSV-00729,,BOLT NUT M16 X 50 SS304,PCS,22640,,ACTIVE
659,MAT-CSV-00730,,BOLT NUT HTB M16 X 50,PCS,5015,,ACTIVE
660,MAT-CSV-00731,,BOLT NUT M16 X 55 SS304,PCS,24830,,ACTIVE
661,MAT-CSV-00732,,BOLT NUT HTB M16 X 55,PCS,5300,,ACTIVE
662,MAT-CSV-00733,,BOLT NUT M16 X 60 SS304,PCS,24830,,ACTIVE
663,MAT-CSV-00734,,BOLT NUT M16 X 65 SS304,PCS,26920,,ACTIVE
664,MAT-CSV-00735,,BOLT NUT HTB M16 X 65,PCS,5875,,ACTIVE
665,MAT-CSV-00736,,ELECTROMAGNETIC FLOWMETER,UNIT,45800000,BSI INSTRUMENT,ACTIVE
666,MAT-CSV-00737,,SIZE : MGW3000 (DN50),PCS,0,,ACTIVE
667,MAT-CSV-00738,,MFG : AZBIL,PCS,0,,ACTIVE
668,MAT-CSV-00739,,DP TRANSMITTER,UNIT,44000000,,ACTIVE
669,MAT-CSV-00740,,SIZE : GTX35 WITH CAPILLARY,PCS,0,,ACTIVE
670,MAT-CSV-00742,,PLAT CS 4' x 8' x 2mm,LEMBAR,743700,KARYABENTENG BARU SEMESTA,ACTIVE
671,MAT-CSV-00743,,WF 150 x 6m,BATANG,1209900,,ACTIVE
672,MAT-CSV-00744,,PLAT STRIP 30 x 6m,BATANG,127650,,ACTIVE
673,MAT-CSV-00745,,READY MIX CONCRETE K-300,M3,1000000,PT KEMBAR HARAPAN JAYA,ACTIVE
674,MAT-CSV-00746,,"RTD K100 WELD 300MM DRAT 1/2""",EA,900000,TEST,ACTIVE
675,MAT-CSV-00747,,"TEMPERATURE GAUGE 4"" NPT 1/2""",EA,900000,,ACTIVE
676,MAT-CSV-00748,,"PRESSEURE GAUGE 4"" NPT 1/2""",EA,900000,,ACTIVE
677,MAT-CSV-00749,,"BALL VALVE TYPE SOCK DRAT DIA 1""",EA,140000,,ACTIVE
678,MAT-CSV-00750,,"BALL VALVE TYPE SOCK DRAT DIA 1/2""",EA,100000,,ACTIVE
679,MAT-CSV-00751,,"MALE TUBING CONNECTOR DRAT 1/2"" X 8MM",EA,186000,,ACTIVE
680,MAT-CSV-00752,,"MALE TUBING CONNECTOR DRAT 1/2"" X 10MM",EA,210000,,ACTIVE
681,MAT-CSV-00753,,"MALE TUBING CONNECTOR DRAT 1/2"" X 12MM",EA,248000,,ACTIVE
682,MAT-CSV-00754,,SELANG HOSE TUBING 8MM,EA,10800,,ACTIVE
683,MAT-CSV-00755,,SELANG HOSE TUBING 10MM,EA,12800,,ACTIVE
684,MAT-CSV-00756,,SELANG HOSE TUBING 12MM,EA,17000,,ACTIVE
685,MAT-CSV-00757,,"ELBOW 90 X 1/2"" GALVANIS DRAT TYPE",EA,17500,,ACTIVE
686,MAT-CSV-00758,,"TEE 1/2"" GALVANIS DRAT TYPE",EA,20000,,ACTIVE
687,MAT-CSV-00759,,COIL SOLENOID PULSATOR,EA,62000,,ACTIVE
688,MAT-CSV-00760,,"CABLE SENSOR 3C X 1,5MM",M,27500,,ACTIVE
689,MAT-CSV-00761,,PUSH BOTTOM WITH LAMP RED,EA,40000,,ACTIVE
690,MAT-CSV-00762,,PUSH BOTTOM WITH LAMP GREEN,EA,40000,,ACTIVE
691,MAT-CSV-00763,,TIMER ON/OFF + SOCKET,EA,800000,,ACTIVE
692,MAT-CSV-00764,,ALAT SENAI PIPA MANUAL,EA,460000,,ACTIVE
693,MAT-CSV-00765,,RAGUNG PIPE TYPE V,EA,1050000,,ACTIVE
694,MAT-CSV-00766,,ALAT BENDING PIPA MANUAL,EA,4850000,,ACTIVE
695,MAT-CSV-00767,,"MESIN GERINDA 4""",EA,450000,,ACTIVE
696,MAT-CSV-00768,,TAP MANUAL,EA,120000,,ACTIVE
697,MAT-CSV-00769,,GASKET TEFLON PTFE 3MM X 1200 X 2400,LEMBAR,3840000,KARSAINTI SEJIWA,ACTIVE
698,MAT-CSV-00770,,PANELVIS CONTROL SYSTEM,PCS,75000,BULAN TERANG ELECTRIC,ACTIVE
699,MAT-CSV-00771,,PANEL DRYER TEMP CONTROL,PCS,75000,,ACTIVE
700,MAT-CSV-00772,,PUSH BUTTON HIJAU,PCS,45000,,ACTIVE
701,MAT-CSV-00773,,PUSH BUTTON MERAH,PCS,45000,,ACTIVE
702,MAT-CSV-00774,,ELBOW GALVANIS 20MM,PCS,25000,,ACTIVE
703,MAT-CSV-00775,,LAMPU TOWER 3 WARNA + BUZZER,PCS,300000,,ACTIVE
704,MAT-CSV-00776,,NAME PLATE 20 X 30,PCS,15000,,ACTIVE
705,MAT-CSV-00777,,"NYAF 0,75",ROLL,220000,,ACTIVE
706,MAT-CSV-00778,,"SKUN Y 1,25-3 MERAH",PACK,25000,,ACTIVE
707,MAT-CSV-00779,,MY4N 24VDC + SOCKET,SET,65000,,ACTIVE
708,MAT-CSV-00780,,INDICATOR KN-1400B,UNIT,3300000,SAHABAT JAYA BERSAMA,ACTIVE
709,MAT-CSV-00781,,SIKU CS 50X50X5,BATANG,215000,TOKO BERKAT,ACTIVE
710,MAT-CSV-00782,,REL CLAMP CONDUIT 3000X50X50 1 3/8,BATANG,715000,,ACTIVE
711,MAT-CSV-00783,,DYNABOLT M8X50,PCS,1850,,ACTIVE
712,MAT-CSV-00784,,BOLT NUT M8X15,PCS,750,,ACTIVE
713,MAT-CSV-00785,,BOLT NUT SS 16X60 L,PCS,24850,PANJI RIMBA TEKNIK,ACTIVE
714,MAT-CSV-00786,,BOLT NUT SS 10X50,PCS,13740,,ACTIVE
715,MAT-CSV-00787,,"MESIN KOMPRESOR 0,75HP OIL LESS",UNIT,1550000,VICTOR TEKNIK MANDIRI,ACTIVE
716,MAT-CSV-00788,,KUNCI L TEKIRO MM,SET,112000,,ACTIVE
717,MAT-CSV-00789,,ROADLINE PAINTING BLACK,GALON,335000,DUNIA BARU,ACTIVE
718,MAT-CSV-00790,,ROADLINE PAINTING YELLOW,GALON,335000,,ACTIVE
719,MAT-CSV-00791,,CAT ALUMUNIUM AVIAN PAINT,KG,60000,,ACTIVE
720,MAT-CSV-00792,,ANCHOR NUT 19 X 300,PCS,24850,PANJI RIMBA TEKNIK,ACTIVE
721,MAT-CSV-00793,,"SDS FLAT 12 X 3,2",BOX,170000,,ACTIVE
722,MAT-CSV-00794,,BOLT NUT M22 X 90,PCS,81000,,ACTIVE
723,MAT-CSV-00797,,CAT FTALIT MERAH,KG,84000,,ACTIVE
724,MAT-CSV-00799,,KABEL TRAY TYPE U ELEKTRO GALVANIS,SET,705000,SURYA INDAH ABADI,ACTIVE
725,MAT-CSV-00800,,200X50 COVER + JOINT,PCS,0,,ACTIVE
726,MAT-CSV-00801,,IR TRAY 200X50 TCOVER + JOINT,SET,308000,,ACTIVE
727,MAT-CSV-00802,,OR TRAY 200X50 TCOVER + JOINT,SET,327000,,ACTIVE
728,MAT-CSV-00803,,ELBOW TRAY 2000X50 TCOVER + JOINT,SET,447000,,ACTIVE
729,MAT-CSV-00804,,COVER CLAMP TRAY 200X50,SET,70000,,ACTIVE
730,MAT-CSV-00805,,KABEL TRAY TIPE U ELEKTRO GALVANIS,SET,286000,,ACTIVE
731,MAT-CSV-00806,,100X50 + JOINT,PCS,0,,ACTIVE
732,MAT-CSV-00807,,IR TRAY 100X50 + JOINT,SET,167000,,ACTIVE
733,MAT-CSV-00808,,OR TRAY 100X50 + JOINT,SET,161000,,ACTIVE
734,MAT-CSV-00809,,ELBOW TRAY 100X50 + JOINT,SET,212000,,ACTIVE
735,MAT-CSV-00810,,ALAT PENARIK KABEL NILON SMOL,ROLL,200000,,ACTIVE
736,MAT-CSV-00811,,"ALAT TEKUK BENDING PIPA 1/2"",2"", HIDRAULIC PIPE",UNIT,3900000,,ACTIVE
737,MAT-CSV-00812,,DINABOLT M8,SET,5000,,ACTIVE
738,MAT-CSV-00813,,DINABOLT M10,SET,6000,,ACTIVE
739,MAT-CSV-00814,,MATA BOR BETON M8,PCS,45000,,ACTIVE
740,MAT-CSV-00815,,MATA BOR BETON M10,PCS,55000,,ACTIVE
741,MAT-CSV-00816,,ONGKIR,LOT,900000,,ACTIVE
742,MAT-CSV-00817,,MUR,PCS,1000,,ACTIVE
743,MAT-CSV-00818,,"KLEM UNISTRAS 1/2""",PCS,6000,SURYA AGUNG CILEGON,ACTIVE
744,MAT-CSV-00819,,SKUN RING 2-8,PAKET,100000,,ACTIVE
745,MAT-CSV-00820,,"VYNIL CAP 2,5 MK 11 @30",M,400,,ACTIVE
746,MAT-CSV-00821,,SPIRAL CABLE KS6,M,25000,,ACTIVE
747,MAT-CSV-00822,,"KABEL NYAF 1X1,5 JEMBO",ROLL,450000,,ACTIVE
748,MAT-CSV-00823,,DOUBLE RACHET 17X19,PCS,135000,,ACTIVE
749,MAT-CSV-00824,,MINI AIR CONTROL UNIT DOUBLE TKR,PCS,206000,,ACTIVE
750,MAT-CSV-00825,,SELANG PU 8MM AAT,M,6000,,ACTIVE
751,MAT-CSV-00826,,"FLASHBACK ARRESTOR OXY,LPG REGULATOR",PCS,70000,,ACTIVE
752,MAT-CSV-00827,,KUSEN INKALUM / OPENBACK,UNIT,1400000,DAIS ALUMUNIUM,ACTIVE
753,MAT-CSV-00828,,KACA 5MM,PCS,0,,ACTIVE
754,MAT-CSV-00829,,REL JENDELA SLIDING,PCS,0,,ACTIVE
755,MAT-CSV-00830,,DAUN JENDELA 9055,PCS,0,,ACTIVE
756,MAT-CSV-00831,,KARET,PCS,0,,ACTIVE
757,MAT-CSV-00832,,SILICON,PCS,0,,ACTIVE
758,MAT-CSV-00833,,"Jendela Alumunium Frame 4"" Kaca 5mm Slide",PCS,0,,ACTIVE
759,MAT-CSV-00834,,KUSEN INKALUM / OPENBACK,UNIT,3600000,,ACTIVE
760,MAT-CSV-00835,,BAHAN DAUN PINTU,PCS,0,,ACTIVE
761,MAT-CSV-00837,,PEGANGAN PINTU HANDLE,PCS,0,,ACTIVE
762,MAT-CSV-00839,,ENGSEL,PCS,0,,ACTIVE
763,MAT-CSV-00840,,READY MIX K-300,M3,860000,JAYAMIX,ACTIVE
764,MAT-CSV-00841,,CONCRETE PUMP,UNIT,3500000,,ACTIVE
765,MAT-CSV-00842,,REL ATAS BESAR 4M,BATANG,395000,RIA JAYA,ACTIVE
766,MAT-CSV-00843,,REL BAWAH 4M,BATANG,115000,,ACTIVE
767,MAT-CSV-00844,,RODA ATAS BESAR,PCS,37500,,ACTIVE
768,MAT-CSV-00845,,RODA BAWAH,PCS,22500,,ACTIVE
769,MAT-CSV-00846,,"SDD (AW) 1"" X 3/4""",PCS,4000,PD MUTIARA INDAH,ACTIVE
770,MAT-CSV-00847,,"SOCKET (AW) 1""",PCS,5000,,ACTIVE
771,MAT-CSV-00848,,LAMPU PHILIPS 36W,BATANG,25000,,ACTIVE
772,MAT-CSV-00849,,"NYM ETERNA 2X1,5X50M",ROLL,495000,,ACTIVE
773,MAT-CSV-00850,,SPIRAL KABEL K-6,PACK,12000,,ACTIVE
774,MAT-CSV-00851,,KABEL TIES 250,PACK,25000,,ACTIVE
775,MAT-CSV-00852,,"SIKU TUKANG 10""",PCS,57500,,ACTIVE
776,MAT-CSV-00853,,"WATERPAS TJAPMATA 12""",PCS,85000,,ACTIVE
777,MAT-CSV-00855,,TEE KABEL LISTRIK P 20MM,PCS,6000,,ACTIVE
778,MAT-CSV-00856,,ELBOW KABEL LISTRIK P 20MM,PCS,6000,,ACTIVE
779,MAT-CSV-00857,,SOCK FITTING KABEL 20MM,PCS,1000,,ACTIVE
780,MAT-CSV-00858,,SPIRAL KABEL K-24,ROLL,65000,,ACTIVE
781,MAT-CSV-00859,,SEALTAPE ONDA KECIL,PCS,5000,,ACTIVE
782,MAT-CSV-00860,,KUNCI RACHET WIPRO,PCS,135000,,ACTIVE
783,MAT-CSV-00861,,MATA BOR BESI 8MM,PCS,35000,,ACTIVE
784,MAT-CSV-00862,,"METERAN 7,5",PCS,35000,,ACTIVE
785,MAT-CSV-00863,,FISCHER S8,PCS,8000,,ACTIVE
786,MAT-CSV-00864,,"SKRUP ISP 2 1/2""",PACK,32000,,ACTIVE
787,MAT-CSV-00865,,MATA BOR NACHI 2MM,PCS,20000,,ACTIVE
788,MAT-CSV-00866,,SELANG FLEKSIBEL CONDUIT,ROLL,165000,,ACTIVE
789,MAT-CSV-00867,,LEM ISARPLAS PVC,KALENG,65000,,ACTIVE
790,MAT-CSV-00868,,PIPA CONDUIT BOSCH 20MM,BATANG,17000,,ACTIVE
791,MAT-CSV-00869,,SEMEN,SAK,44000,,ACTIVE
792,MAT-CSV-00870,,"PVC 2"" AW",PCS,70000,,ACTIVE
793,MAT-CSV-00871,,"ELBOW 2""",PCS,10000,,ACTIVE
794,MAT-CSV-00873,,LAKBAN HITAM TEBAL,PCS,15000,,ACTIVE
795,MAT-CSV-00874,,BUTTERFLY VALVE,UNIT,8750000,PD HARAPAN PERSADA,ACTIVE
796,MAT-CSV-00875,,KAMIZAWA,PCS,0,,ACTIVE
797,MAT-CSV-00876,,DISC : PTFE,PCS,0,,ACTIVE
798,MAT-CSV-00878,,BODY : DUCTILE IRON,PCS,0,,ACTIVE
799,MAT-CSV-00879,,C/W : DOUBLE ACTING ACTUATOR KPZ SERIES,PCS,0,,ACTIVE
800,MAT-CSV-00880,,ACCESSORIES : SOLENOID VALVE PG 220VAC,PCS,0,,ACTIVE
801,MAT-CSV-00881,,25VDC,PCS,0,,ACTIVE
