NOMOR PRODUK,CODE,JENIS,NAMA,SATUAN,HARGA,VENDOR,STATUS,NOTE
1682,MAT-CSV-01682,,"HOLO BESI 4X4X1,2mm",BATANG,110000,MUTIARA INDAH,ACTIVE,INSERTED
1683,MAT-CSV-01683,,ALDERON TRIMDECK SINGLE LAYER GREY/WHITE,LEMBAR,428000,MUTIARA INDAH,ACTIVE,INSERTED
1684,MAT-CSV-01684,,KOP KACA KAKI 3,UNIT,220000,MUTIARA INDAH,ACTIVE,INSERTED
1685,MAT-CSV-01685,,SILICON HITAM,BTL,36000,MUTIARA INDAH,ACTIVE,INSERTED
1686,MAT-CSV-01686,,BARICADE HITAM KUNING,ROLL,50000,MUTIARA INDAH,ACTIVE,INSERTED
1687,MAT-CSV-01687,,WATERPAS,UNIT,18000,MUTIARA INDAH,ACTIVE,INSERTED
1688,MAT-CSV-01688,,HOLO 40X60X2MM,BATANG,285270,PT KARYA BENTENG BARU SEMESTA,ACTIVE,INSERTED
1689,MAT-CSV-01689,,"HOLO BESI 40x40x1,2mm",BATANG,132000,MAHES JAYA STEEL,ACTIVE,INSERTED
1690,MAT-CSV-01690,,ALDERON TRIMDECK SINGLE LAYER GREY/WHITE,LEMBAR,426000,MUTIARA INDAH,ACTIVE,INSERTED
1691,MAT-CSV-01691,,"PIPA PVC 2"" AW RUCIKA",BATANG,110000,MUTIARA INDAH,ACTIVE,INSERTED
1692,MAT-CSV-01692,,JOTUN GARDEX PREMIUM GLOSS PLATINUM GREY,GALON,572000,MUTIARA INDAH,ACTIVE,INSERTED
1693,MAT-CSV-01693,,NIPPON PAINT EPOXYGUARD COATING,LITER,180000,MUTIARA INDAH,ACTIVE,INSERTED
1694,MAT-CSV-01694,,SKROP,DUMP,750000,MATERIAL ALAM,ACTIVE,INSERTED
1695,MAT-CSV-01695,,ABU BATU,DUMP,1100000,MATERIAL ALAM,ACTIVE,INSERTED
1696,MAT-CSV-01696,,BASE COURSE GRADE A,DUMP,1100000,MATERIAL ALAM,ACTIVE,INSERTED
1697,MAT-CSV-01697,,SEWA MOBIL VIBRO,SHIFT,3500000,MATERIAL ALAM,ACTIVE,INSERTED
1698,MAT-CSV-01698,,BENSIN STAMPER KODOK,LOT,50000,MATERIAL ALAM,ACTIVE,INSERTED
1699,MAT-CSV-01699,,ALDERON TRIMDECK SINGLE LAYER GREY/WHITE,LEMBAR,426000,MUTIARA INDAH,ACTIVE,INSERTED
1700,MAT-CSV-01700,,UK : 6M,0.0,0,MUTIARA INDAH,ACTIVE,INSERTED
1701,MAT-CSV-01701,,BAK CAT,PCS,8000,MUTIARA INDAH,ACTIVE,INSERTED
1702,MAT-CSV-01702,,GUN SEALENT,PCS,25000,MUTIARA INDAH,ACTIVE,INSERTED
1703,MAT-CSV-01703,,ROLL EPOXY CAT,PCS,50000,MUTIARA INDAH,ACTIVE,INSERTED
1704,MAT-CSV-01704,,ISI ROLL EPOXY CAT,PCS,28000,MUTIARA INDAH,ACTIVE,INSERTED
1705,MAT-CSV-01705,,SEALENT PUTIH BOTOL,PCS,26000,MUTIARA INDAH,ACTIVE,INSERTED
