NOMOR PRODUK,CODE,JENIS,NAMA,SATUAN,HARGA,VENDOR,STATUS,NOTE
66,MAT-CSV-00066,-,Kunci bor 13mm,Pcs,22200,PT. VIKTOR TEKNIK MANDIRI,ACTIVE,INSERTED
67,MAT-CSV-00067,-,Segel Omega 10 TON,Pcs,225000,PT. VIKTOR TEKNIK MANDIRI,ACTIVE,INSERTED
68,MAT-CSV-00068,JIS 10K SUS 304,"Flange 2""",Pcs,180000,DAGANG TEKNIK GLODOK,ACTIVE,INSERTED
69,MAT-CSV-00069,JIS 10K CS,"FLG 6""",Pcs,260000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
70,MAT-CSV-00070,SGP SCH 40,"ELBOW 90� x 6""",Pcs,250000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
71,MAT-CSV-00071,JIS 10K SUS 304,"FLG 2""",Pcs,200000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
72,MAT-CSV-00072,SUS 304,"PIPA sch 40 welded 2�"" x 6000",Batang,3300000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
73,MAT-CSV-00073,JIS 10K SUS 304,"BLIND FLG 3""",Pcs,385000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
74,MAT-CSV-00074,SUS 304,"ELBOW 90� x 2""",Pcs,120000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
75,MAT-CSV-00075,MAKTEC,"Mesin Gerinda 4 inch, Maktek MT90",Unit,396680,PASAR TEKNIK GLODOK,ACTIVE,INSERTED
76,MAT-CSV-00076,HUGONG - WELDMAX,Mesin Las Hugong power stick 251,Unit,2750000,PT. VIKTOR TEKNIK MANDIRI,ACTIVE,INSERTED
77,MAT-CSV-00077,NAGASAKI,Chainblock 3T x 10m,Unit,5500000,CV. KEMBAR JAYA,ACTIVE,INSERTED
78,MAT-CSV-00078,SUS 304,"Asental Bar 304 d:15,8mm",Batang,550000,PT. WIJAYA MAKMUR,ACTIVE,INSERTED
79,MAT-CSV-00079,JIS 10K SS 304,"Flange 8""",Pcs,746000,PT. WIJAYA MAKMUR,ACTIVE,INSERTED
80,MAT-CSV-00080,ATK,Spidol Paint Marker White,Pcs,14500,TOKO TELADAN,ACTIVE,INSERTED
81,MAT-CSV-00081,ATK,spidol Paint Marker Black,Pcs,14500,TOKO TELADAN,ACTIVE,INSERTED
82,MAT-CSV-00082,ATK,Cutter L500 Kenko,Pcs,15000,TOKO TELADAN,ACTIVE,INSERTED
83,MAT-CSV-00083,ATK,Isi Cutter L150 Kenko,Pcs,6500,TOKO TELADAN,ACTIVE,INSERTED
84,MAT-CSV-00084,ATK,Staples HD 10kk,Pcs,9000,TOKO TELADAN,ACTIVE,INSERTED
85,MAT-CSV-00085,ATK,Isi Staples Etona,Pcs,2000,TOKO TELADAN,ACTIVE,INSERTED
86,MAT-CSV-00086,ATK,Pulpen Standar AE7 hitam,pack,22000,TOKO TELADAN,ACTIVE,INSERTED
87,MAT-CSV-00087,ATK,Buku Folio 100PPL,Pcs,20000,TOKO TELADAN,ACTIVE,INSERTED
88,MAT-CSV-00088,MIYAKO,Dispenser Miyako WD 389 HC,Unit,550000,TOKO SAHABAT,ACTIVE,INSERTED
89,MAT-CSV-00089,RAJAWALI,SEMEN,Sak,45000,TB. PASIFIC II,ACTIVE,INSERTED
90,MAT-CSV-00090,-,Blencong,Pcs,75000,TB. MUTIARA INDAH,ACTIVE,INSERTED
91,MAT-CSV-00091,-,Palu Camel,Pcs,45000,TB. MUTIARA INDAH,ACTIVE,INSERTED
92,MAT-CSV-00092,-,Palu Lafma,Pcs,30000,TB. MUTIARA INDAH,ACTIVE,INSERTED
93,MAT-CSV-00093,-,"Meteran 7,5m Toho",Pcs,82500,TB. MUTIARA INDAH,ACTIVE,INSERTED
94,MAT-CSV-00094,-,Meteran 50m,Pcs,235000,TB. MUTIARA INDAH,ACTIVE,INSERTED
95,MAT-CSV-00095,-,Bracket Face Shield,Pcs,80000,TB. MUTIARA INDAH,ACTIVE,INSERTED
96,MAT-CSV-00096,-,Kaca Face Shield,Pcs,95000,TB. MUTIARA INDAH,ACTIVE,INSERTED
97,MAT-CSV-00097,-,S.Tangan katun 5b,Pcs,24000,TB. MUTIARA INDAH,ACTIVE,INSERTED
98,MAT-CSV-00098,-,Fire Blanket,Pcs,80000,TB. MUTIARA INDAH,ACTIVE,INSERTED
99,MAT-CSV-00099,-,Gagang Cangkul,Pcs,15000,TB. MUTIARA INDAH,ACTIVE,INSERTED
100,MAT-CSV-00100,-,Mata Cangkul Buaya,Pcs,60000,TB. MUTIARA INDAH,ACTIVE,INSERTED
101,MAT-CSV-00101,-,Roll Baricade Merah/Puth,Pcs,50000,TB. MUTIARA INDAH,ACTIVE,INSERTED
102,MAT-CSV-00102,-,Refil Roll Cat Pinehill,Pcs,50000,TB. MUTIARA INDAH,ACTIVE,INSERTED
103,MAT-CSV-00103,-,Angklong Gerobak Orange,Pcs,680000,TB. MUTIARA INDAH,ACTIVE,INSERTED
104,MAT-CSV-00104,-,S.Tangan argon,Pcs,22000,TB. MUTIARA INDAH,ACTIVE,INSERTED
105,MAT-CSV-00105,-,Kaca mata vipro,Pcs,15000,TB. MUTIARA INDAH,ACTIVE,INSERTED
106,MAT-CSV-00106,-,Sepatu Boots FORLI,Pcs,60000,TB. MUTIARA INDAH,ACTIVE,INSERTED
107,MAT-CSV-00107,-,"Paku Rivet 4,8mm",Pcs,65000,TB. MUTIARA INDAH,ACTIVE,INSERTED
108,MAT-CSV-00108,CS,Besi 6,Batang,29000,TB. PASIFIC II,ACTIVE,INSERTED
109,MAT-CSV-00109,CS,Sloop,Batang,170000,TB. PASIFIC II,ACTIVE,INSERTED
110,MAT-CSV-00110,RAJAWALI,SEMEN,Sak,45000,TB. PASIFIC II,ACTIVE,INSERTED
111,MAT-CSV-00111,8mm,Besi 6,Batang,29000,TB. PASIFIC II,ACTIVE,INSERTED
112,MAT-CSV-00112,8mm,Rucika 3/4 pipa pvc,Batang,35000,TB. PASIFIC II,ACTIVE,INSERTED
113,MAT-CSV-00113,4 x 6,Kaso Kayu,Batang,22000,TB. PASIFIC II,ACTIVE,INSERTED
114,MAT-CSV-00114,SS 304,Bolt & Nut M16x50,Pcs,19775,BAUT FASTNER,ACTIVE,INSERTED
115,MAT-CSV-00115,PC75,Sewa Exavator PC75,Days,12620000,YANIS-DAMAN-LOKAL,ACTIVE,INSERTED
116,MAT-CSV-00116,CS,Wiremesh M8x5400x2100,Lembar,599400,PT. KBBS,ACTIVE,INSERTED
117,MAT-CSV-00117,-,Tiang Precast beton 16x16x300,Unit,270000,SAMSON BLOCK INDONESIA,ACTIVE,INSERTED
118,MAT-CSV-00118,-,- Jasa Bushing � 155 x 85mm,Unit,500000,CV. ATAY LAJU SENTOSA,ACTIVE,INSERTED
119,MAT-CSV-00119,-,- Jasa Bushing � 155 x 70mm,Unit,500000,CV. ATAY LAJU SENTOSA,ACTIVE,INSERTED
120,MAT-CSV-00120,-,- Jasa Bushing � 155 x (sisa potongan),Unit,500000,CV. ATAY LAJU SENTOSA,ACTIVE,INSERTED
121,MAT-CSV-00121,-,- Jasa Bushing � 155 x 3500mm,Unit,500000,CV. ATAY LAJU SENTOSA,ACTIVE,INSERTED
122,MAT-CSV-00122,-,Housing Seal (Matl S45L),Unit,3500000,CV. ATAY LAJU SENTOSA,ACTIVE,INSERTED
123,MAT-CSV-00123,-,Triplek 4mm,Lembar,86000,YANIS-DAMAN-LOKAL,ACTIVE,INSERTED
124,MAT-CSV-00124,-,Paku 7,Pcs,30000,YANIS-DAMAN-LOKAL,ACTIVE,INSERTED
125,MAT-CSV-00125,-,Paku 5,Pcs,30000,YANIS-DAMAN-LOKAL,ACTIVE,INSERTED
126,MAT-CSV-00126,4 x 6 Duren,Kaso Kayu,Batang,37000,YANIS-DAMAN-LOKAL,ACTIVE,INSERTED
127,MAT-CSV-00127,-,Gembok,Pcs,50000,YANIS-DAMAN-LOKAL,ACTIVE,INSERTED
128,MAT-CSV-00128,-,Grendel Gembok,Pcs,15000,YANIS-DAMAN-LOKAL,ACTIVE,INSERTED
129,MAT-CSV-00129,-,Sendok Bata,Pcs,47000,YANIS-DAMAN-LOKAL,ACTIVE,INSERTED
130,MAT-CSV-00130,-,Roskam,Pcs,35000,YANIS-DAMAN-LOKAL,ACTIVE,INSERTED
131,MAT-CSV-00131,-,Paku 7,kg,30000,YANIS-DAMAN-LOKAL,ACTIVE,INSERTED
132,MAT-CSV-00132,-,Paku 10,kg,30000,YANIS-DAMAN-LOKAL,ACTIVE,INSERTED
133,MAT-CSV-00133,-,Paku 5,kg,30000,YANIS-DAMAN-LOKAL,ACTIVE,INSERTED
134,MAT-CSV-00134,-,Benang Tukang,Roll,12000,YANIS-DAMAN-LOKAL,ACTIVE,INSERTED
135,MAT-CSV-00135,-,Kikir,Pcs,45000,YANIS-DAMAN-LOKAL,ACTIVE,INSERTED
136,MAT-CSV-00136,-,Kaso 4x6 duren,Batang,37000,YANIS-DAMAN-LOKAL,ACTIVE,INSERTED
137,MAT-CSV-00137,-,"Sock drat dalam 1/2"" PVC",Pcs,10000,YANIS-DAMAN-LOKAL,ACTIVE,INSERTED
138,MAT-CSV-00138,-,"Paku payung 7""",pack,15000,YANIS-DAMAN-LOKAL,ACTIVE,INSERTED
139,MAT-CSV-00139,4 x 6 Duren,Kaso Kayu,Batang,37000,YANIS-DAMAN-LOKAL,ACTIVE,INSERTED
140,MAT-CSV-00140,-,Balok 5x10,Batang,67000,YANIS-DAMAN-LOKAL,ACTIVE,INSERTED
141,MAT-CSV-00141,-,Besi 10 Full,Batang,140333,YANIS-DAMAN-LOKAL,ACTIVE,INSERTED
142,MAT-CSV-00142,-,Paku 4,kg,30000,YANIS-DAMAN-LOKAL,ACTIVE,INSERTED
143,MAT-CSV-00143,-,Besi 10 Full,Batang,140600,YANIS-DAMAN-LOKAL,ACTIVE,INSERTED
144,MAT-CSV-00144,-,Besi 13 Ulir Full,Batang,237120,YANIS-DAMAN-LOKAL,ACTIVE,INSERTED
145,MAT-CSV-00145,-,Besi 16 Ulir Full,Batang,360240,YANIS-DAMAN-LOKAL,ACTIVE,INSERTED
146,MAT-CSV-00146,-,Sandwich Panel Dinding 270x60x5,Lembar,320000,PT ARTHA BETON,ACTIVE,INSERTED
147,MAT-CSV-00147,14 x 14 Natural,Paving Alstad 4,m2,135000,PT. CISANGKAN,ACTIVE,INSERTED
148,MAT-CSV-00148,7 x 21 Natrural,Paving Alstad 5,m2,135000,PT. CISANGKAN,ACTIVE,INSERTED
149,MAT-CSV-00149,SDS - KARET,Roofing Kuning SDS 12x25 (400pcs),Box,136000,PD. PANJI RIMBA TEKNIK,ACTIVE,INSERTED
150,MAT-CSV-00150,SDS - KARET,Roofing Kuning SDS 12x75 (300pcs),Box,189000,PD. PANJI RIMBA TEKNIK,ACTIVE,INSERTED
151,MAT-CSV-00151,ETERNA,"Kabel Power NYYHY 2x2,5 eterna serabut (50m)",Roll,710000,TOKO SEMI CILEGON,ACTIVE,INSERTED
152,MAT-CSV-00152,TC-4 NICHI,Kabel duct TC-4 NICHI,Batang,10000,TOKO SEMI CILEGON,ACTIVE,INSERTED
153,MAT-CSV-00153,BROCO,Stop kontak 4 lubang Broco,Pcs,45000,TOKO SEMI CILEGON,ACTIVE,INSERTED
154,MAT-CSV-00154,BROCO,Steker Broco,Pcs,11000,TOKO SEMI CILEGON,ACTIVE,INSERTED
155,MAT-CSV-00155,3M,Rubber 3M,Pcs,95000,TOKO SEMI CILEGON,ACTIVE,INSERTED
156,MAT-CSV-00156,KITANI,"Kabel Power NYAF 1 x 1,5",Roll,215000,TOKO SEMI CILEGON,ACTIVE,INSERTED
157,MAT-CSV-00157,-,Kabel Ties,pack,8000,TOKO SEMI CILEGON,ACTIVE,INSERTED
158,MAT-CSV-00158,NITTO,Electric tape Nitto,Pcs,15000,TOKO SEMI CILEGON,ACTIVE,INSERTED
159,MAT-CSV-00159,-,Semen Rajawali,Sak,46000,TB. MUTIARA INDAH,ACTIVE,INSERTED
160,MAT-CSV-00160,-,Besi 10,Batang,82000,TB. MUTIARA INDAH,ACTIVE,INSERTED
161,MAT-CSV-00161,-,Besi 8,Batang,52000,TB. MUTIARA INDAH,ACTIVE,INSERTED
162,MAT-CSV-00162,-,Triplek 8mm,Lembar,90000,TB. MUTIARA INDAH,ACTIVE,INSERTED
163,MAT-CSV-00163,4 x 6,Kaso Kayu,Batang,27000,TB. MUTIARA INDAH,ACTIVE,INSERTED
164,MAT-CSV-00164,-,Besi 13,Batang,135000,TB. MUTIARA INDAH,ACTIVE,INSERTED
165,MAT-CSV-00165,-,Bodem LB10,Pcs,100000,TB. MUTIARA INDAH,ACTIVE,INSERTED
166,MAT-CSV-00166,-,"Cutting circle kayu 4""",Pcs,60000,TB. MUTIARA INDAH,ACTIVE,INSERTED
167,MAT-CSV-00167,-,Kapur besi,pack,20000,TB. MUTIARA INDAH,ACTIVE,INSERTED
168,MAT-CSV-00168,-,Tespen,Pcs,12000,TB. MUTIARA INDAH,ACTIVE,INSERTED
169,MAT-CSV-00169,-,Obeng,Pcs,15000,TB. MUTIARA INDAH,ACTIVE,INSERTED
170,MAT-CSV-00170,-,S.tangan 5b,Lusin,25000,TB. MUTIARA INDAH,ACTIVE,INSERTED
171,MAT-CSV-00171,-,Marker,Pcs,22000,TB. MUTIARA INDAH,ACTIVE,INSERTED
172,MAT-CSV-00172,"3"" JIS 10K SS 304",Flange,Pcs,280000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
173,MAT-CSV-00173,"20"" JIS 5K SS 304",Flange,Pcs,3350000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
174,MAT-CSV-00174,"20"" JIS 5K SS 304",Blind Flange,Pcs,8350000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
175,MAT-CSV-00175,SS 304,Eye Nut,Pcs,135000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
176,MAT-CSV-00176,WD,"Cutting Disc 4"" x 1.2mm WD",Box,53600,INTI PERKAKAS GLODOK,ACTIVE,INSERTED
177,MAT-CSV-00177,-,AS Drat Stainless M16,Batang,161025,DANINDO TEKNIK MANDIRI,ACTIVE,INSERTED
178,MAT-CSV-00178,-,"Sock drat+Nepel 1/2"" x 100 sus 304",Pcs,17000,DANINDO TEKNIK MANDIRI,ACTIVE,INSERTED
179,MAT-CSV-00179,Galvalum,Plat sheet Galvalume 0.3mm x 915,m2,55000,INDOMEGA ALUMUNIUM,ACTIVE,INSERTED
180,MAT-CSV-00180,SS 304,"Pipa 12"" x 600 sch 20 SUS 304",Pcs,2055000,CV. ARDIAN AGUNG TEKNIK,ACTIVE,INSERTED
181,MAT-CSV-00181,SS 304,"Pipa 20"" x 500 sch 20 SUS 304",Pcs,4150000,CV. ARDIAN AGUNG TEKNIK,ACTIVE,INSERTED
182,MAT-CSV-00182,SS 304,"Blind Flange 10"" jis 10k SUS 304",Pcs,2430000,CV. ARDIAN AGUNG TEKNIK,ACTIVE,INSERTED
183,MAT-CSV-00183,Galvanis,Asdrat Galvanis m10 x 1000,Batang,17500,KARYA WARGI,ACTIVE,INSERTED
184,MAT-CSV-00184,Coklat 1mm,Fire blanket,m2,75000,KARYA WARGI,ACTIVE,INSERTED
185,MAT-CSV-00185,-,Cat vinilex P300 white,Galon,175000,KARYA WARGI,ACTIVE,INSERTED
186,MAT-CSV-00186,-,Kran 1/2 inch galvanis onda,Pcs,71500,KARYA WARGI,ACTIVE,INSERTED
187,MAT-CSV-00187,FCL,Coupling FCL - 180,Unit,467350,ASC TEKNIK,ACTIVE,INSERTED
188,MAT-CSV-00188,SS 304,Turnbuckle eye to hook ss304 m8,Pcs,45675,ASC TEKNIK,ACTIVE,INSERTED
189,MAT-CSV-00189,-,Acrylic 8mm potong bulat diameter 130mm,Pcs,14100,ASC TEKNIK,ACTIVE,INSERTED
190,MAT-CSV-00190,SS 304,Wire rope sling ss304 x 4mm,m2,12950,ASC TEKNIK,ACTIVE,INSERTED
191,MAT-CSV-00191,-,"Flexible / Metal conduit 1/2""",m,14000,ASC TEKNIK,ACTIVE,INSERTED
192,MAT-CSV-00192,-,Nut Stainless ss304 m16,Pcs,4889,ASC TEKNIK,ACTIVE,INSERTED
193,MAT-CSV-00193,-,Alat tekuk Besi/Bending besi + sock,Unit,449200,ASC TEKNIK,ACTIVE,INSERTED
194,MAT-CSV-00194,SS 304,"Pelampung Stainless (ball only, 11inch) 304",Pcs,1043300,ASC TEKNIK,ACTIVE,INSERTED
195,MAT-CSV-00195,Tokiwa,Mata Bor Stainless 18mm Tokiwa HSSCO,Pcs,218347,DAYA TEKNIK JAKARTA,ACTIVE,INSERTED
196,MAT-CSV-00196,MSA,Helm Proyek MSA Lokal SNI,Pcs,58479,DAYA TEKNIK JAKARTA,ACTIVE,INSERTED
197,MAT-CSV-00197,-,Philips LED Downlight Multipack 13W 6500K,Pack,187985,DAYA TEKNIK JAKARTA,ACTIVE,INSERTED
198,MAT-CSV-00198,WD,"Cutting disc WD 4""x1.2mm",Pack,50255,DAYA TEKNIK JAKARTA,ACTIVE,INSERTED
199,MAT-CSV-00199,-,Door Closer Interkey - Black,Unit,105000,INDOMEGA ALUMUNIUM,ACTIVE,INSERTED
200,MAT-CSV-00200,-,Kunci Lockise Glatino (201-Black),Unit,105000,INDOMEGA ALUMUNIUM,ACTIVE,INSERTED
201,MAT-CSV-00201,-,Dynabolt m10x80,Pcs,1800,PANJI RIMBA TEKNIK,ACTIVE,INSERTED
202,MAT-CSV-00202,-,B. Galvanis 16x50 bolt & nut,Pcs,4100,PANJI RIMBA TEKNIK,ACTIVE,INSERTED
203,MAT-CSV-00203,-,Dynabolt m10x105,Pcs,2200,PANJI RIMBA TEKNIK,ACTIVE,INSERTED
204,MAT-CSV-00204,,"NYAF 1x1,5mm serabut ETERNA",Roll,150000,TOKO TERANG,ACTIVE,INSERTED
205,MAT-CSV-00205,,"PIPA PVC 1/2"" AW untuk kabel dongjin",Batang,50000,TOKO BERKAT,ACTIVE,INSERTED
206,MAT-CSV-00206,,Oxygen,Tabung,75000,IWAN BANTEN MANDIRI,ACTIVE,INSERTED
207,MAT-CSV-00207,,Argon,Tabung,250000,IWAN BANTEN MANDIRI,ACTIVE,INSERTED
208,MAT-CSV-00208,,"Kabel NYY 1x1,5 (50m)",Roll,165000,TOKO TERANG,ACTIVE,INSERTED
209,MAT-CSV-00209,,"Ubolt 1/2"" kecil 3/8",Pcs,3100,TOKO TERANG,ACTIVE,INSERTED
210,MAT-CSV-00210,,Plat CS Tebal 16mm 400x578x150x200,Pcs,762000,PASS STEEL,ACTIVE,INSERTED
211,MAT-CSV-00211,,Plat CS Tebal 16mm 216x578x65x200,Pcs,400000,PASS STEEL,ACTIVE,INSERTED
212,MAT-CSV-00212,,Plat CS Tebal 16mm 40x210x212x45,Pcs,150000,PASS STEEL,ACTIVE,INSERTED
213,MAT-CSV-00213,,Plat CS Tebal 20mm 45x250,Pcs,50000,PASS STEEL,ACTIVE,INSERTED
214,MAT-CSV-00214,,Plat CS Tebal 20mm 220x250,Pcs,225000,PASS STEEL,ACTIVE,INSERTED
215,MAT-CSV-00215,,Dynabolt 12x90,Pcs,2880,PANJI RIMBA TEKNIK,ACTIVE,INSERTED
216,MAT-CSV-00216,,B. Galvanis 16x50 bolt & nut,Pcs,4100,PANJI RIMBA TEKNIK,ACTIVE,INSERTED
217,MAT-CSV-00217,,Wastafel Triliun Lilac White,Unit,335000,TB. MUTIARA INDAH,ACTIVE,INSERTED
218,MAT-CSV-00218,,Shower Onda SO 230,Unit,180000,TB. MUTIARA INDAH,ACTIVE,INSERTED
219,MAT-CSV-00219,,Mata Bor Beton,Pcs,48000,TB. MUTIARA INDAH,ACTIVE,INSERTED
220,MAT-CSV-00220,,Saringan air bawah wastafel,Pcs,25000,TB. MUTIARA INDAH,ACTIVE,INSERTED
221,MAT-CSV-00221,,"Paku Rivet 4,8",Box,65000,TB. MUTIARA INDAH,ACTIVE,INSERTED
222,MAT-CSV-00222,,Kran wastafel,Pcs,135000,TB. MUTIARA INDAH,ACTIVE,INSERTED
223,MAT-CSV-00223,,Kran shower,Pcs,45000,TB. MUTIARA INDAH,ACTIVE,INSERTED
224,MAT-CSV-00224,,"FLG 20"" JIS 5K (N - 1)",Pcs,3350000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
225,MAT-CSV-00225,,"BLIND FLG 20"" JIS 5K (N - 1)",Pcs,8350000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
226,MAT-CSV-00226,,"FLG 4"" JIS10K (N - 1)",Pcs,340000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
227,MAT-CSV-00227,,"FLG 12"" JIS10K (yg ready)",Pcs,2950000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
228,MAT-CSV-00228,,"BLIND FLG 12"" JIS 10k (yg ready)",Pcs,7050000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
229,MAT-CSV-00229,,"FLG 2"" JIS10K",Pcs,200000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
230,MAT-CSV-00230,,"PIPE 2"" X 500 MM SCH.80",Batang,650000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
231,MAT-CSV-00231,,"PIPE 2"" X 500 MM SCH.40",Batang,260000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
232,MAT-CSV-00232,,"PIPE 3"" X 500 MM SCH.80",Batang,1118000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
233,MAT-CSV-00233,,"PIPE 4"" X 500 MM SCH.40",Batang,1660000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
234,MAT-CSV-00234,,Eye nut m16,Pcs,135000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
235,MAT-CSV-00235,,UNP 200X90X6000 MM,Batang,2010000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
236,MAT-CSV-00236,,GLAND PACKIN 12 X 12 MM,Pcs,55000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
237,MAT-CSV-00237,,Eye nut m16,Pcs,135000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
238,MAT-CSV-00238,,As Drat m16 x 1m,Pcs,145000,PT. KARSA INTI SEJIWA,ACTIVE,INSERTED
239,MAT-CSV-00239,,"FLG 2"" JIS 10K SUS 304",Pcs,189750,CV. ARDIAN AGUNG TEKNIK,ACTIVE,INSERTED
240,MAT-CSV-00240,,"FLG 4"" JIS 10K SUS 304",Pcs,322000,CV. ARDIAN AGUNG TEKNIK,ACTIVE,INSERTED
241,MAT-CSV-00241,,"JASA BUBUT FLG 4"" JIS 10K SUS 304",Pcs,100000,CV. ARDIAN AGUNG TEKNIK,ACTIVE,INSERTED
242,MAT-CSV-00242,,Plate 4'x8'x6mm SUS 304,Pcs,6870000,CV. ARDIAN AGUNG TEKNIK,ACTIVE,INSERTED
243,MAT-CSV-00243,,Bosean BH-60 Gas Klorin & Alarm,Unit,5000000,CV. DARMA SAKTI ADIPERKASA,ACTIVE,INSERTED
244,MAT-CSV-00244,,"P2 - Pintu 2500 x 980 Frame 4"", Kaca 5mm",Unit,2800000,DAIS ALUMUNIUM,ACTIVE,INSERTED
245,MAT-CSV-00245,,"J3 - Jendela 1000 x 400 Frame 4"", Kaca 5mm",Unit,750000,,ACTIVE,INSERTED
246,MAT-CSV-00246,,"J2 - Jendela 1650 x 900 Frame 4"", Kaca 5mm",Unit,1400000,,ACTIVE,INSERTED
247,MAT-CSV-00247,,"J1 - Jendela 1650 x 1800, Frame 4"", Kaca 5mm,",Unit,2200000,,ACTIVE,INSERTED
248,MAT-CSV-00248,,Concrete K-300,m3,1000000,PT KEMBAR HARAPAN JAYA,ACTIVE,INSERTED
249,MAT-CSV-00249,,Pompa Concrete,shift,4500000,,ACTIVE,INSERTED
250,MAT-CSV-00250,,"Plat Bordesh 4'x8""x3mm",Lembar,1276500,KARYABENTENG BARU SEMESTA,ACTIVE,INSERTED
251,MAT-CSV-00251,,Siku 60x60x6,Batang,399600,,ACTIVE,INSERTED
252,MAT-CSV-00252,,Plat Strip 40x4x6m,Batang,99900,,ACTIVE,INSERTED
253,MAT-CSV-00253,,Thinner KW1,Jrg,380000,DUNIA BARU,ACTIVE,INSERTED
254,MAT-CSV-00254,,Seiv 480 Blue Peacok,Pail,1260000,,ACTIVE,INSERTED
255,MAT-CSV-00255,,Seiv 6610 Grey Primer,Pail,985000,,ACTIVE,INSERTED
256,MAT-CSV-00256,,FTALIT 147 Yellow,Pail,1500000,,ACTIVE,INSERTED
257,MAT-CSV-00257,,"Isi Roll 4"" pink",Box,72000,,ACTIVE,INSERTED
258,MAT-CSV-00258,,"Kuas 2"" Eterna",Pcs,10000,,ACTIVE,INSERTED
259,MAT-CSV-00259,,Plat Bar SS304 80x8x6m,Batang,1920000,WIJAYA MAKMUR SENTOSA,ACTIVE,INSERTED
260,MAT-CSV-00260,,"Pipe SS304 1,5"" x 1m sch20",Batang,360000,,ACTIVE,INSERTED
261,MAT-CSV-00261,,"FLG SS304 4"" JIS 10K",Pcs,116000,,ACTIVE,INSERTED
262,MAT-CSV-00262,,"AS SS304 D: 127mm(5""), Panjang: 75mm",Pcs,710000,,ACTIVE,INSERTED
263,MAT-CSV-00263,,KZ SERIES CENTRIC BUTTERFLY VALVE,Unit,10400000,KOTA SURYABUNGUSU UTAMA,ACTIVE,INSERTED
264,MAT-CSV-00264,,DUCTILE IRON,Pcs,0,,ACTIVE,INSERTED
265,MAT-CSV-00265,,DISC SS + PFA 3mm,Pcs,0,,ACTIVE,INSERTED
266,MAT-CSV-00266,,SHAFT : 17-4PH,Pcs,0,,ACTIVE,INSERTED
267,MAT-CSV-00267,,CONN WAFER TO ANSI 150 FLANGES,Pcs,0,,ACTIVE,INSERTED
268,MAT-CSV-00268,,TEMP : -29 TO 150,Pcs,0,,ACTIVE,INSERTED
269,MAT-CSV-00269,,"SIZE 4""",Pcs,0,,ACTIVE,INSERTED
270,MAT-CSV-00270,,BLIND FLANGE OD : 445mm,Unit,600000,KRAKATAU MOTOPARTS CILEGON,ACTIVE,INSERTED
271,MAT-CSV-00271,,"LUBANG �4""",Pcs,0,,ACTIVE,INSERTED
272,MAT-CSV-00272,,"FLANGE 4""",Unit,100000,,ACTIVE,INSERTED
273,MAT-CSV-00273,,DUDUKAN SIGHT GLASS,Pcs,0,,ACTIVE,INSERTED
274,MAT-CSV-00274,,BUSHING BLADE,Unit,1300000,,ACTIVE,INSERTED
275,MAT-CSV-00275,,GLAND PACKING,Set,2650000,,ACTIVE,INSERTED
276,MAT-CSV-00276,,"PIPE NEPEL 1""x100 SS304",Pcs,22000,MULTI TEKNIK PARTS,ACTIVE,INSERTED
277,MAT-CSV-00277,,"BALL VALVE SANKYO 1"" SS316",Pcs,49000,,ACTIVE,INSERTED
278,MAT-CSV-00278,,ROOFING KUNING 12x25 (400),Box,136000,,ACTIVE,INSERTED
279,MAT-CSV-00279,,"BOX PANEL H600xW400xD250, FREESTANDING",Unit,500000,BULAN TERANG ELECTRIC,ACTIVE,INSERTED
280,MAT-CSV-00280,,"CREAM, T:2mm, 3 PINTU",Pcs,0,,ACTIVE,INSERTED
281,MAT-CSV-00281,,"SCHNEIDER PILOT LAMP D22, 220V, MERAH",Pcs,45000,,ACTIVE,INSERTED
282,MAT-CSV-00282,,"SCHNEIDER PILOT LAMP D22, 220V, JINGGA",Pcs,45000,,ACTIVE,INSERTED
283,MAT-CSV-00283,,"SCHNEIDER PILOT LAMP D22, 220V, HIJAU",Pcs,45000,,ACTIVE,INSERTED
