code,jenis,name,satuan,harga,vendor
MT-2026-0220,,"BLIND FLG 12"" JIS 10k (yg ready)",PCS,7050000,PT. KARSA INTI SEJIWA
MT-2026-0221,,"FLG 2"" JIS10K",PCS,200000,PT. KARSA INTI SEJIWA
MT-2026-0222,,"PIPE 2"" X 500 MM SCH.80",BATANG,650000,PT. KARSA INTI SEJIWA
MT-2026-0223,,"PIPE 2"" X 500 MM SCH.40",BATANG,260000,PT. KARSA INTI SEJIWA
MT-2026-0224,,"PIPE 3"" X 500 MM SCH.80",BATANG,1118000,PT. KARSA INTI SEJIWA
MT-2026-0225,,"PIPE 4"" X 500 MM SCH.40",BATANG,1660000,PT. KARSA INTI SEJIWA
MT-2026-0226,,Eye nut m16,PCS,135000,PT. KARSA INTI SEJIWA
MT-2026-0227,,UNP 200X90X6000 MM,BATANG,2010000,PT. KARSA INTI SEJIWA
MT-2026-0228,,GLAND PACKIN 12 X 12 MM,PCS,55000,PT. KARSA INTI SEJIWA
MT-2026-0229,,As Drat m16 x 1m,PCS,145000,PT. KARSA INTI SEJIWA
MT-2026-0230,,"FLG 2"" JIS 10K SUS 304",PCS,189750,CV. ARDIAN AGUNG TEKNIK
MT-2026-0231,,"FLG 4"" JIS 10K SUS 304",PCS,322000,CV. ARDIAN AGUNG TEKNIK
MT-2026-0232,,"JASA BUBUT FLG 4"" JIS 10K SUS 304",PCS,100000,CV. ARDIAN AGUNG TEKNIK
MT-2026-0233,,Plate 4'x8'x6mm SUS 304,PCS,6870000,CV. ARDIAN AGUNG TEKNIK
MT-2026-0234,,Bosean BH-60 Gas Klorin & Alarm,UNIT,5000000,CV. DARMA SAKTI ADIPERKASA
MT-2026-0235,,"P2 - Pintu 2500 x 980 Frame 4"", Kaca 5mm",UNIT,2800000,DAIS ALUMUNIUM
MT-2026-0236,,"J3 - Jendela 1000 x 400 Frame 4"", Kaca 5mm",UNIT,750000,
MT-2026-0237,,"J2 - Jendela 1650 x 900 Frame 4"", Kaca 5mm",UNIT,1400000,
MT-2026-0238,,"J1 - Jendela 1650 x 1800, Frame 4"", Kaca 5mm,",UNIT,2200000,
MT-2026-0239,,Concrete K-300,M3,1000000,PT KEMBAR HARAPAN JAYA
MT-2026-0240,,Pompa Concrete,SHIFT,4500000,
MT-2026-0241,,"Plat Bordesh 4'x8""x3mm",LEMBAR,1276500,KARYABENTENG BARU SEMESTA
MT-2026-0242,,Siku 60x60x6,BATANG,399600,
MT-2026-0243,,Plat Strip 40x4x6m,BATANG,99900,
MT-2026-0244,,Thinner KW1,JRG,380000,DUNIA BARU
MT-2026-0245,,Seiv 480 Blue Peacok,PAIL,1260000,
MT-2026-0246,,Seiv 6610 Grey Primer,PAIL,985000,
MT-2026-0247,,FTALIT 147 Yellow,PAIL,1500000,
MT-2026-0248,,"Isi Roll 4"" pink",BOX,72000,
MT-2026-0249,,"Kuas 2"" Eterna",PCS,10000,
MT-2026-0250,,Plat Bar SS304 80x8x6m,BATANG,1920000,WIJAYA MAKMUR SENTOSA
MT-2026-0251,,"Pipe SS304 1,5"" x 1m sch20",BATANG,360000,
MT-2026-0252,,"FLG SS304 4"" JIS 10K",PCS,116000,
MT-2026-0253,,"AS SS304 D: 127mm(5""), Panjang: 75mm",PCS,710000,
MT-2026-0254,,KZ SERIES CENTRIC BUTTERFLY VALVE,UNIT,10400000,KOTA SURYABUNGUSU UTAMA
MT-2026-0255,,DUCTILE IRON,PCS,0,
MT-2026-0256,,DISC SS + PFA 3mm,PCS,0,
MT-2026-0257,,SHAFT : 17-4PH,PCS,0,
MT-2026-0258,,CONN WAFER TO ANSI 150 FLANGES,PCS,0,
MT-2026-0259,,TEMP : -29 TO 150,PCS,0,
MT-2026-0260,,"SIZE 4""",PCS,0,
MT-2026-0261,,BLIND FLANGE OD : 445mm,UNIT,600000,KRAKATAU MOTOPARTS CILEGON
MT-2026-0262,,"LUBANG �4""",PCS,0,
MT-2026-0263,,"FLANGE 4""",UNIT,100000,
MT-2026-0264,,DUDUKAN SIGHT GLASS,PCS,0,
MT-2026-0265,,BUSHING BLADE,UNIT,1300000,
MT-2026-0266,,GLAND PACKING,SET,2650000,
MT-2026-0267,,"PIPE NEPEL 1""x100 SS304",PCS,22000,MULTI TEKNIK PARTS
MT-2026-0268,,"BALL VALVE SANKYO 1"" SS316",PCS,49000,
MT-2026-0269,,ROOFING KUNING 12x25 (400),BOX,136000,
MT-2026-0270,,"BOX PANEL H600xW400xD250, FREESTANDING",UNIT,500000,BULAN TERANG ELECTRIC
MT-2026-0271,,"CREAM, T:2mm, 3 PINTU",PCS,0,
MT-2026-0272,,"SCHNEIDER PILOT LAMP D22, 220V, MERAH",PCS,45000,
MT-2026-0273,,"SCHNEIDER PILOT LAMP D22, 220V, JINGGA",PCS,45000,
MT-2026-0274,,"SCHNEIDER PILOT LAMP D22, 220V, HIJAU",PCS,45000,
MT-2026-0275,,"SCHNEIDER PUSH BUTTON D22, No, HIJAU",PCS,50000,
MT-2026-0276,,"SCHNEIDER PUSH BUTTON D22, Nc, MERAH",PCS,50000,
MT-2026-0277,,CONTACTOR LC1-D09M7,PCS,180000,
MT-2026-0278,,"DOMAE MCCB 1P, 2A",PCS,85000,
MT-2026-0279,,"DOMAE MCCB 3P, 50A",PCS,600000,
MT-2026-0280,,"FUSE CARRIER 1 KUTUB 10,3 x 38",PCS,15000,
MT-2026-0281,,"FUSE CATRIDGE, GG 10,3 x 38, 5A",PCS,300000,
MT-2026-0282,,LAMPU TL 2x18 WATT LED + KAP,SET,285000,
MT-2026-0283,,"KABEL NYYHY 3x1,5",ROLL,1400000,
MT-2026-0284,,PIPA PVC M20,BATANG,17500,
MT-2026-0285,,ELBOW PVC M20,PAK,130000,
MT-2026-0286,,SOCKET PVC M20,PAK,130000,
MT-2026-0287,,Plat Hitam CS 4'x8x12mm,LEMBAR,3907250,KARYABENTENG BARU SEMESTA
MT-2026-0288,,Plat Hitam CS 4'x8x25mm,LEMBAR,8424900,
MT-2026-0289,,SIKU 50x50x5x6m,BATANG,260850,
MT-2026-0290,,Plat Hitam CS 4'x8x10mm,LEMBAR,3230100,
MT-2026-0291,,WF 150x75x12m,BATANG,2503050,
MT-2026-0292,,"CNP 150x50x3,2mm",BATANG,549450,
MT-2026-0293,,Fire blanket 1mm putih,ROLL,1750000,VICTOR TEKNIK MANDIRI
MT-2026-0294,,Kapur Besi F-Premium,PACK,14000,
MT-2026-0295,,Paint Marker Hitam snowman,LUSIN,16500,
MT-2026-0296,,Paint Marker Putih snowman,LUSIN,16500,
MT-2026-0297,,Kabel Las 70mm Superflex (100m),ROLL,6750000,
MT-2026-0298,,Mesin Las Hugong weldmax 251,UNIT,4000000,
MT-2026-0299,,Stang las kurthaufe 600a,PCS,57500,
MT-2026-0300,,Konektor las Male 35-50,PCS,25000,
MT-2026-0301,,"Meteran 7,5m",PCS,45000,
MT-2026-0302,,Siku tukang kecil,PCS,45000,
MT-2026-0303,,Siku tukang besar,PCS,85000,
MT-2026-0304,,Kunci inggris 6,PCS,44000,
MT-2026-0305,,Kunci - Kunci set,SET,583000,
MT-2026-0306,,"Cutting Disc 4""x1.2mm Merk WD",PCS,3500,
MT-2026-0307,,Kunci L tekiro,SET,112000,
MT-2026-0308,,Spray gun meiji tangki bawah,SET,245000,
MT-2026-0309,,Panel Meter MT4W-DA-4N,PCS,581081,SAHABAT JAYA BERSAMA
MT-2026-0310,,Indicator KN1000-B,PCS,1855856,
MT-2026-0311,,"Pintu site 1 Alumunium Frame 4"" Kaca 5mm",UNIT,2800000,
MT-2026-0312,,"Jendela Alumunium Frame 4"" Kaca 5mm Slide",UNIT,2200000,
MT-2026-0313,,Concrete K-250,M3,910000,PT KEMBAR HARAPAN JAYA
MT-2026-0314,,Kawat nyamuk,M,10000,PD MUTIARA INDAH
MT-2026-0315,,Spray gun,PCS,150000,
MT-2026-0316,,Majun warna,KG,10000,
MT-2026-0317,,Nachi Mata bor 2mm,PCS,20000,
MT-2026-0318,,Nachi Mata bor 3mm,PCS,20000,
MT-2026-0319,,Gunting Bajaringan,PCS,45000,
MT-2026-0320,,Tang Kombinasi,PCS,55000,
MT-2026-0321,,Tang Potong,PCS,52500,
MT-2026-0322,,Mata obeng,PCS,75000,
MT-2026-0323,,Roofing 12x75,BOX,173750,PD PANJI RIMBA TEKNIK
MT-2026-0324,,Asdrat 8x1 Galv,BATANG,11075,
MT-2026-0325,,Nut galv M8,PCS,210,
MT-2026-0326,,Bolt Nut galv M8x25,PCS,605,
MT-2026-0327,,Roofing 12x25,BOX,173750,
MT-2026-0328,,"Reducer Concentric sus304 sch 40 1""x1/2"" welded",PCS,41000,CILEGON JAYA SUPLINDO
MT-2026-0329,,"Elbow 90 sus304 sch 40 1"" welded",PCS,51000,
MT-2026-0330,,Mata obeng ph262mm blackfoot,PCS,10000,
MT-2026-0331,,"Skrup Gypsum 6x1,4",BOX,65000,
MT-2026-0332,,"Ballvalve 1"" ss316 1000wg",PCS,100000,KARYA TEKNIK MANDIRI
MT-2026-0333,,BM ss304 16x40,PCS,28000,KRAKATAU MOTOPARTS CILEGON
MT-2026-0334,,I ss304 10x40,PCS,11000,
MT-2026-0335,,"Pipa Nepel 1/4"" x 100 sch 40 CS",PCS,20000,
MT-2026-0336,,"Pipa Nepel 3/8"" x 100 sch 40 CS",PCS,22000,
MT-2026-0337,,Baut Kuning 12x75,PCS,3500,
MT-2026-0338,,Baut Kuning 12x100,PCS,4500,
MT-2026-0339,,As kotak Stainless,BATANG,107000,
MT-2026-0340,,Nepel greas 1/4 stainless,PCS,18700,
MT-2026-0341,,"Socket drat dalam stainless 1/4""",PCS,9880,
MT-2026-0342,,"Pipa Nepel 1/4"" x 100 sch 40 ss304",PCS,9880,
MT-2026-0343,,"Flange 4"" Bubut Sightglass",PCS,100000,
MT-2026-0344,,Box Panel Outdoor Double Door,UNIT,16500000,BULAN TERANG ELECTRIC
MT-2026-0345,,ss 1800x800x600 (sesuai contoh),PCS,0,
MT-2026-0346,,Box Panel Outdoor Double Door,UNIT,14000000,
MT-2026-0347,,ss 1000x800x600 (sesuai contoh),PCS,0,
MT-2026-0348,,Inverter 2.2KW,PCS,7875000,
MT-2026-0349,,Teco A510,PCS,0,
MT-2026-0350,,Paint Marker Hitam snowman,PCS,16500,
MT-2026-0351,,Paint Marker Putih snowman,PCS,16500,
MT-2026-0352,,"Pipa Nepel 1"" sch 20 Panjang 20cm",PCS,65000,
MT-2026-0353,,argon wg,TABUNG,250000,IWAN ARGON
MT-2026-0354,,Oksigen,TABUNG,75000,
MT-2026-0355,,Indikator KN-1400B Output,UNIT,2025226,SAHABAT JAYA BERSAMA
MT-2026-0356,,"PNEUMATIC BALL VALVE ""MDT""",UNIT,5500000,PD HARAPAN PERSADA
MT-2026-0357,,"2""",PCS,0,
MT-2026-0358,,BODY : SS 304,PCS,0,
MT-2026-0359,,BALL & STEM : SS 304,PCS,0,
MT-2026-0360,,SEAT : PTFE,PCS,0,
MT-2026-0361,,"C/W : DOUBLE ACTING ACTUATOR ""KP"" SERIES",PCS,0,
MT-2026-0362,,AND SOLENOID VALVE NAMUR 220 VAC,PCS,0,
MT-2026-0363,,"PNEUMATIC CONTROL GLOBE VALVE ""CONFLOW""",UNIT,25650000,
MT-2026-0364,,BODY : CAST IRON,PCS,0,
MT-2026-0365,,BONNET : STANDARD TYPE,PCS,0,
MT-2026-0366,,TRIM : SS 316,PCS,0,
MT-2026-0367,,PLUG-CHARATERISTIC : LINEAR,PCS,0,
MT-2026-0368,,PACKING : PTFE 85% + GRAPHITE 15%,PCS,0,
MT-2026-0369,,END STD : FLANGE DIN PN 16 RF,PCS,0,
MT-2026-0370,,"ACTUATOR : DIAPHRAGM, SPRING RETURN,",PCS,0,
MT-2026-0371,,"FAIL CLOSE,",PCS,0,
MT-2026-0372,,"C/W : POSITIONER, LINEAR TYPE",PCS,0,
MT-2026-0373,,FILTER REGULATOR,PCS,0,
MT-2026-0374,,"PNEUMATIC CONTROL GLOBE VALVE ""CONFLOW""",UNIT,38700000,
MT-2026-0375,,BODY : 14408,PCS,0,
MT-2026-0376,,"1"" (SAME AS ABOVE)",UNIT,28080000,
MT-2026-0377,,PLAFON PVC 6m x 20cm,LEMBAR,66000,INDOMEGA ALUMUNIUM
MT-2026-0378,,LIST PVC LM 016,BATANG,44000,
MT-2026-0379,,SILICONE PUTIH,BOTOL,24500,
MT-2026-0380,,ELBOW CS HITAM,PCS,18000,MUTIARA INDAH
MT-2026-0381,,VINILEX V 300 CAT PUTIH,PAIL,850000,
MT-2026-0382,,SIKA GROUT 215 25KG,SAK,116000,
MT-2026-0383,,COMPOUND 40KG,SAK,63000,
MT-2026-0384,,FIBERGLASS TAPE,PCS,15000,
MT-2026-0385,,SILICONE SEALENT,PCS,22000,
MT-2026-0386,,"KUAS CAT ETERNA 3""",PCS,12500,
MT-2026-0387,,"ROLL CAT 9""",PCS,40000,
MT-2026-0388,,"ISI ROLL CAT 9""",PCS,18000,
MT-2026-0389,,KAPE PVC,PCS,7000,
MT-2026-0390,,BAUT SDS 4CM,BOX,175000,
MT-2026-0391,,BOLT NUT GALVANIS 16x55,PCS,4160,PD PANJI RIMBA TEKNIK
MT-2026-0392,,BOLT NUT GALVANIS 18x65,PCS,7705,
MT-2026-0393,,BOLT NUT SS 304 14x55,PCS,18955,
MT-2026-0394,,BOLT NUT SS 304 16x50,PCS,22640,
MT-2026-0395,,"SDS T4 H 8x32""",PCS,230,
MT-2026-0396,,BOLT NUT SS 304 16x100,PCS,43500,
MT-2026-0397,,BOLT NUT SS 304 12x100,PCS,23500,
MT-2026-0398,,FITTING ANGIN NEPEL CONECTOR 3/8 8MM KB34,PCS,4160,PD PNEUMATIC HARDWARE
MT-2026-0399,,NEPEL GREASE 1/4 NPT 45,PCS,7705,
MT-2026-0400,,SOCKET STAINLESS 304 3/8,PCS,18955,
MT-2026-0401,,H-BEAM 350x12,BATANG,31834800,KARYABENTENG BARU SEMESTA
MT-2026-0402,,H-BEAM 350x12,BATANG,31834800,
MT-2026-0403,,H-BEAM 300x12,BATANG,21955800,
MT-2026-0404,,H-BEAM 100x12,BATANG,3330000,
MT-2026-0405,,WF 400x200x8x13x12,BATANG,14696400,
MT-2026-0406,,WF 300x150x6x9x12,BATANG,7714500,
MT-2026-0407,,WF 250x125x6x9x12,BATANG,5738700,
MT-2026-0408,,WF 150x75x5x12,BATANG,2430900,
MT-2026-0409,,"Elbow 90 sus304 sch 40 1"" welded",PCS,55000,CILEGON JAYA SUPLINDO
MT-2026-0410,,"Elbow 45 sus304 sch 40 1"" welded",PCS,73850,
MT-2026-0411,,Mur m16 ss 304,PCS,7200,
MT-2026-0412,,"AMPLAS VELCRO TEMPEL 4"" GRIT 1200",PCS,3300,MARKETPLACE TOKOPEDIA
MT-2026-0413,,"AMPLAS VELCRO TEMPEL 4"" GRIT 60",PCS,750,
MT-2026-0414,,"TATAKAN AMPLAS VELCRO 4"" PAD M10",PCS,5850,
MT-2026-0415,,LMRS T-DUS 20mm 3 & 4 PUTIH,PCS,2500,
MT-2026-0416,,PLAT KAPAL 5'x20'x 6mm CS,LEMBAR,6789000,MEGA BAJA BALARAJA
MT-2026-0417,,"PIPA HITAM 3""x2,0mm CS",BATANG,545000,
MT-2026-0418,,SIKU 50x5x6m CS,BATANG,330000,
MT-2026-0419,,"PNEUMATIC CONTROL GLOBE VALVE ""CONFLOW"" 2�""",UNIT,39000000,PD HARAPAN PERSADA
MT-2026-0420,,PROX SENSOR PRCMT12-400 DC NO 2 WHITE,UNIT,168469,SAHABAT JAYA BERSAMA
MT-2026-0421,,CONNECTOR CABLE CID2-2 4Pin 2WIRE 2M,UNIT,70270,
MT-2026-0422,,BRAND : AUTONICS,PCS,0,
MT-2026-0423,,SIKU 50x50x5x6m,BATANG,266400,KARYABENTENG BARU SEMESTA
MT-2026-0424,,DRYWAL 6 x 1,PCS,60,CILEGON CENTRAL BAUT
MT-2026-0425,,SDF JF 10 x 1,PCS,300,
MT-2026-0426,,KUNCI RACHET 17 x 19,PCS,135000,PD MUTIARA INDAH
MT-2026-0427,,MATA ROOFING MAGNET TOMECO,PCS,13000,
MT-2026-0428,,"NYAF KITANI 1 x 1,5mm 50m",ROLL,170000,
MT-2026-0429,,KABEL TIES 20CM,PCS,15000,
MT-2026-0430,,BOR BATERAI,UNIT,500000,
MT-2026-0431,,MOBLIE CRANE 25T,SHIFT,6000000,PT KEMBAR HARAPAN JAYA
MT-2026-0432,,BOLT NUT M22 x 90 SS304,PCS,70200,CILEGON CENTRAL BAUT
MT-2026-0433,,BOLT NUT M18 x 45 HTB 8.8 FD,PCS,9300,
MT-2026-0434,,PU TUBE CUBING 8 x 5 x 100m,ROLL,650000,BULAN TERANG ELECTRIC
MT-2026-0435,,"MINI SIREN 4"" 220",PCS,850000,
MT-2026-0436,,"SDS 6X1"" 25mm FF",BOX,225000,BOLT NUT FASTENER
MT-2026-0437,,"SDS 6X2"" 55mm FF",BOX,390000,
MT-2026-0438,,"SKRUP GYPSUM 6X1"" HITAM",BOX,78000,
MT-2026-0439,,AS DRAT M8 GALVANIS,BATANG,17000,
MT-2026-0440,,NUT M8 GALVANIS,PCS,430,
MT-2026-0441,,KASA GYPSUM 5,ROLL,16500,PD MUTIARA INDAH
MT-2026-0442,,LIST PVC LM016,BATANG,50000,
MT-2026-0443,,SILICONE PUTIH,BOTOL,26500,
MT-2026-0444,,CAT TEMBOK VINILEX P300,PAIL,875000,
MT-2026-0445,,FLEXIBLE CONDUIT 20mm,ROLL,360000,
MT-2026-0446,,PAVING BLOCK MODEL BATA,M2,190000,PT. EPN
MT-2026-0447,,20X10,PCS,0,
MT-2026-0448,,K-300,PCS,0,
MT-2026-0449,,PROSES PRODUKSI :,PCS,0,
MT-2026-0450,,SIAP KIRIM,PCS,0,
MT-2026-0451,,"INCLUDE ONGKIR, LOADING, UNLOADING",PCS,0,
MT-2026-0452,,EXCLUDE : PALLET,UNIT,25000,
MT-2026-0453,,"JASA ROLL PIPA 3"" RD 703",BATANG,150000,MITRA BAJA PERSADA
MT-2026-0454,,JASA ROLL PLAT T6 5X20 780AS,LEMBAR,970000,
MT-2026-0455,,ROL SIKU 50X50 TOE OUT,BATANG,90000,
MT-2026-0456,,RANTAI DOUBLE RS 120,UNIT,4850000,PT CAKRA ADJI GUNUNG
MT-2026-0457,,CAT SEIV 480 BLUE PEACOK,PAIL,1260000,DUNIA BARU
MT-2026-0458,,CAT SEIV 6610 GREY PRIMER,PAIIL,985000,
MT-2026-0459,,THINNER KW 1,JERIGEN,380000,
MT-2026-0460,,CAT VINILEX P300 WHITE INT EXT,PAIL,800000,DUNIA BARU
MT-2026-0461,,"REFIL ROLL 4"" PINEHILL",BOX,50000,
MT-2026-0462,,"KUAS 2"" OWNER",PCS,5000,
MT-2026-0463,,PLAFON PVC 6m x 20cm,LEMBAR,44000,INDOMEGA ALUMUNIUM
MT-2026-0464,,RETUR PLAFON,LOT,990000,
MT-2026-0465,,WF 400x200x8x13x12,BATANG,14696400,KARYABENTENG BARU SEMESTA
MT-2026-0466,,"CNP 100x6m 2,3mm",BATANG,321900,
MT-2026-0467,,"PIPA HITAM CS 1"" x 2,8mm x 6m",BATANG,199800,
MT-2026-0468,,WF 150x75x5x6,BATANG,1265400,
MT-2026-0469,,PLAT HITAM CS 4'x8'x8mm,LEMBAR,2719500,
MT-2026-0470,,PLAT HITAM CS 4'x8'x2mm,LEMBAR,754800,
MT-2026-0471,,JASA PASANG PAVING BLOCK,M2,32000,PT. EPN
MT-2026-0472,,"MOBDEMOB, INC STEMP,",UNIT,6500000,
MT-2026-0473,,"NYM 3x2,5m KABEL TUNGGAL",ROLL,800000,PD MUTIARA INDAH
MT-2026-0474,,STOP KONTAK AC,SET,65000,
MT-2026-0475,,KABEL TIES ATN 3 X 150MM,PACK,8000,
MT-2026-0476,,"KABEL TIES TORCH 3,6 X 250MM",PACK,18000,
MT-2026-0477,,KABEL TIES ATN 4 X 250MM,PACK,15000,
MT-2026-0478,,HELM MERAH SAFETY SPR,PCS,23000,
MT-2026-0479,,SEAL TAPE ONDA,PCS,5000,
MT-2026-0480,,NACHI TAPE,PCS,10000,
MT-2026-0481,,ELECTRIC TAPE NITTO,PCS,10000,
MT-2026-0482,,OBENG + E,PCS,11000,
MT-2026-0483,,CUTTER 16,PCS,10000,
MT-2026-0484,,BOLT NUT M16X60 SS304,PCS,24830,PANJI RIMBA TEKNIK
MT-2026-0485,,BOLT NUT M10X50 SS304 L,PCS,16290,
MT-2026-0486,,"LEVERBLOCK 3TON x 1,5m",UNIT,2497000,VICTOR TEKNIK MANDIRI
MT-2026-0487,,CAT SEIV 6610 PRIMER GREY,PAIL,985000,
MT-2026-0488,,PROXIMITY SENSOR PRL 18-8DP,PCS,209910,SAHABAT JAYA BERSAMA
MT-2026-0489,,BOX PANEL OUTDOOR PVC 400X400X200,PCS,1300000,BULAN TERANG ELECTRIC
MT-2026-0490,,RELAY + SOCKET 24VDC OMRON 4TK,PCS,65000,
MT-2026-0491,,CABLE SIGNAL 2C HWG18/305M (2000M),ROLL,3850000,
MT-2026-0492,,CABLE SIGNAL 3C HWG 18/30M (1000M),ROLL,7150000,
MT-2026-0493,,"CABLE POWER 1CX1,0MM NYAF",PCS,3200,
MT-2026-0494,,"CABLE POWER 2CX1,0MM NYAF",PCS,12000,
MT-2026-0495,,"CABLE POWER 3CX1,0MM NYAF",PCS,15000,
MT-2026-0496,,"CABLE POWER 20CX1,0MM NYAF",M,70000,
MT-2026-0497,,SELECTOR SWITCH AUTO/MAN22 SCHNEIDER,PCS,95000,
MT-2026-0498,,MCB 100A SCHNEIDER,PCS,600000,
MT-2026-0499,,CERAMIC FUSE 10A+RUMAH,PCS,5000,
MT-2026-0500,,CERAMIC FUSE 5A+RUMAH,PCS,15000,
MT-2026-0501,,EMI FILTER 120/250VAC,PCS,175000,
MT-2026-0502,,PUSH BUTTON ON 22 SCHNEIDER,PCS,45000,
MT-2026-0503,,PUSH BUTTON OFF 22 SCHNEIDER,PCS,45000,
MT-2026-0504,,MAIN MCB 6A LS DC 6A,PCS,65000,
MT-2026-0505,,PILOT LAMP 24VDC 22 SCHNEIDER,PCS,45000,
MT-2026-0506,,INDIKATOR ALARM,PCS,65000,
MT-2026-0507,,TERMINAL BLOCK RAIL TYPE TBC 10A,PACK,200000,
MT-2026-0508,,PIPA CONDUIT 20MM,BATANG,17500,
MT-2026-0509,,ELBOW CONDUIT 20MM 30PCS,PCS/PCK,130000,
MT-2026-0510,,SOCKET CONDUIT 20MM 30PCS,PCS/PCK,130000,
MT-2026-0511,,DC POWER SUPPLY QUINT 2A24VDC,PCS,250000,
MT-2026-0512,,"PIPA CONDUIT GAL 3/4"" GALVANIZED",BATANG,78000,
MT-2026-0513,,"FLEXIBLE CONNECTOR 3/4"" GALVANIZED",PCS,8500,
MT-2026-0514,,"FLEXIBLE CONDUIT 3/4"" BARTON",ROLL,550000,
MT-2026-0515,,"SOCKET PIPA CONDUIT 3/4"" GALVANIZED",PCS,8500,
MT-2026-0516,,"UNION CONDUIT 3/4"" GALVANIZED",PCS,20000,
MT-2026-0517,,"UNISTROUT PIPE 3/4""",PCS,20000,
MT-2026-0518,,CLAMP UNISTROUT PIPE 3/4,PACK,200000,
MT-2026-0519,,"KABEL TIES 300X3,6MM",PACK,30000,
MT-2026-0520,,KABEL SCUN Y1MM MERAH,PACK,25000,
MT-2026-0521,,KABEL SCUN Y1MM BIRU,PACK,25000,
MT-2026-0522,,"KABEL MARKER 0-9 FOR CABLE 2,25MM",ROLL/SET,35000,
MT-2026-0523,,VENTILASI UDARA UNTUK PANEL,PCS,125000,
MT-2026-0524,,PLAT CS 10MM 4'X8',LEMBAR,3429900,KARYABENTENG BARU SEMESTA
MT-2026-0525,,PLAT CS 2MM 4'X8',LEMBAR,754800,
MT-2026-0526,,GEROBAK ARTCO,UNIT,750000,KARYA WARGI
MT-2026-0527,,MATA ROOFING 8MM TOMECO,PCS,13000,
MT-2026-0528,,MATA OBENG TEKIRO,PCS,13000,
MT-2026-0529,,"JASA ROLL PIPA, PLAT JACKET",LOT,2630000,MITRA BAJA PERSADA
MT-2026-0530,,"JASA MANPOWER WELDING FABRIKASI PLAT, PIPA",LOT,7000000,
MT-2026-0531,,ARGON LPG OXIGEN,LOT,3059500,
MT-2026-0532,,BOLT NUT SS304 ETC,LOT,1000000,
MT-2026-0533,,MATERIAL PIPA GALVANIS SCH 40x6M,BATANG,1850000,
MT-2026-0534,,ATAP GALVALUME AZ 100 G550,LEMBAR,510000,PT MAJAMAKMUR SUKSES MANDIRI
MT-2026-0535,,TYPE 920 (11 GELOMBANG),PCS,0,
MT-2026-0536,,"TEBAL 0,40 TCT",PCS,0,
MT-2026-0537,,LEBAR 920mm,PCS,0,
MT-2026-0538,,PANJANG 4m,PCS,0,
MT-2026-0539,,STAMPER PAVING/KODOK,UNIT,7150000,VICTOR TEKNIK MANDIRI
MT-2026-0540,,BENSIN,PCS,0,
MT-2026-0541,,ENGINE GP160 HONDA,PCS,0,
MT-2026-0542,,TERMINAL BROCO 4LB,PCS,47500,
MT-2026-0543,,KEPALA STEKER BROCO,PCS,13000,
MT-2026-0544,,"GERINDA MAKTEC 4""",UNIT,405000,
MT-2026-0545,,"NYYHY 2X2,5 ETERNA SERABUT @50M",ROLL,765000,
MT-2026-0546,,ROOFING KUNING 12X75 C250,BOX,173750,PD PANJI RIMBA TEKNIK
MT-2026-0547,,"TEE SGP CS LAS 1/2"" SCH 20",PCS,16000,
MT-2026-0548,,KABEL DUCT,BATANG,20000,TOKO SEMI ELECTRIC
MT-2026-0549,,ELBOW PVC,PCS,2000,
MT-2026-0550,,TANG KOMBINASI,PCS,36000,
MT-2026-0551,,PIPA KABEL,PCS,20000,
MT-2026-0552,,TANG POTONG,PCS,25000,
MT-2026-0553,,ENGSEL SCHNEIDER,PCS,25000,
MT-2026-0554,,SERO SCHNEIDER,PCS,35000,
MT-2026-0555,,MATERIAL DONGJIN ELECTRICAL,LOT,300000,
MT-2026-0556,,"NYM 2x1,5",ROLL,290000,TOKO SEMI ELECTRIC
MT-2026-0557,,FLEXIBLE,ROLL,75000,
MT-2026-0558,,STOP AC BROCO,SET,60000,
MT-2026-0559,,KLEM PIPA,PACK,100000,
MT-2026-0560,,MCB SCHNEIDER BIRU SPLN 16A,PCS,35000,
MT-2026-0561,,MCB SCHNEIDER BIRU SPLN 2A,PCS,25000,
MT-2026-0562,,MCB SCHNEIDER BIRU SPLN 25A,PCS,35000,
MT-2026-0563,,TOOL DRIL BIT ALAT PENGASAH MATA BOR,SET,20000,
MT-2026-0564,,"KEPALA BOR CHUCK 1,5-10MM",SET,25000,
MT-2026-0565,,MESIN LAS WELDMAX POWER251 1PASS,UNIT,4000000,VICTOR TEKNIK MANDIRI
MT-2026-0566,,"METERAN 7,5 M",PCS,45000,
MT-2026-0567,,TANG POTONG,PCS,47500,
MT-2026-0568,,TANG KOMBINASI,PCS,52500,
MT-2026-0569,,OBENG +-,PCS,32500,
MT-2026-0570,,TESPEN,PCS,15000,
MT-2026-0571,,TANG AMPERE,PCS,950000,
MT-2026-0572,,MASKING TAPE BESAR,PCS,9500,
MT-2026-0573,,"KABEL POWER NYYHY 3X2,5 SERABUT",ROLL,750000,
MT-2026-0574,,TOOL BOX ALAT STANDAR,UNIT,100000,
MT-2026-0575,,TANG PRESS,PCS,325000,
MT-2026-0576,,"MATA BOR NACHI 2,0",PCS,15700,
MT-2026-0577,,"MATA BOR NACHI 4,0",PCS,20000,
MT-2026-0578,,"MATA BOR NACHI 5,0",PCS,29000,
MT-2026-0579,,STOP KONTAK TERMINAL BROCO 4 LB,PCS,47500,
