code,jenis,name,satuan,harga,vendor
MT-2026-0068,JIS 10K SUS 304,"BLIND FLG 3""",PCS,385000,PT. KARSA INTI SEJIWA
MT-2026-0069,SUS 304,"ELBOW 90� x 2""",PCS,120000,PT. KARSA INTI SEJIWA
MT-2026-0070,MAKTEC,"Mesin Gerinda 4 inch, Maktek MT90",UNIT,396680,PASAR TEKNIK GLODOK
MT-2026-0071,HUGONG - WELDMAX,Mesin Las Hugong power stick 251,UNIT,2750000,PT. VIKTOR TEKNIK MANDIRI
MT-2026-0072,NAGASAKI,Chainblock 3T x 10m,UNIT,5500000,CV. KEMBAR JAYA
MT-2026-0073,SUS 304,"Asental Bar 304 d:15,8mm",BATANG,550000,PT. WIJAYA MAKMUR
MT-2026-0074,JIS 10K SS 304,"Flange 8""",PCS,746000,PT. WIJAYA MAKMUR
MT-2026-0075,ATK,Spidol Paint Marker White,PCS,14500,TOKO TELADAN
MT-2026-0076,ATK,spidol Paint Marker Black,PCS,14500,TOKO TELADAN
MT-2026-0077,ATK,Cutter L500 Kenko,PCS,15000,TOKO TELADAN
MT-2026-0078,ATK,Isi Cutter L150 Kenko,PCS,6500,TOKO TELADAN
MT-2026-0079,ATK,Staples HD 10kk,PCS,9000,TOKO TELADAN
MT-2026-0080,ATK,Isi Staples Etona,PCS,2000,TOKO TELADAN
MT-2026-0081,ATK,Pulpen Standar AE7 hitam,PACK,22000,TOKO TELADAN
MT-2026-0082,ATK,Buku Folio 100PPL,PCS,20000,TOKO TELADAN
MT-2026-0083,MIYAKO,Dispenser Miyako WD 389 HC,UNIT,550000,TOKO SAHABAT
MT-2026-0084,RAJAWALI,SEMEN,SAK,45000,TB. PASIFIC II
MT-2026-0085,,Blencong,PCS,75000,TB. MUTIARA INDAH
MT-2026-0086,,Palu Camel,PCS,45000,TB. MUTIARA INDAH
MT-2026-0087,,Palu Lafma,PCS,30000,TB. MUTIARA INDAH
MT-2026-0088,,"Meteran 7,5m Toho",PCS,82500,TB. MUTIARA INDAH
MT-2026-0089,,Meteran 50m,PCS,235000,TB. MUTIARA INDAH
MT-2026-0090,,Bracket Face Shield,PCS,80000,TB. MUTIARA INDAH
MT-2026-0091,,Kaca Face Shield,PCS,95000,TB. MUTIARA INDAH
MT-2026-0092,,S.Tangan katun 5b,PCS,24000,TB. MUTIARA INDAH
MT-2026-0093,,Fire Blanket,PCS,80000,TB. MUTIARA INDAH
MT-2026-0094,,Gagang Cangkul,PCS,15000,TB. MUTIARA INDAH
MT-2026-0095,,Mata Cangkul Buaya,PCS,60000,TB. MUTIARA INDAH
MT-2026-0096,,Roll Baricade Merah/Puth,PCS,50000,TB. MUTIARA INDAH
MT-2026-0097,,Refil Roll Cat Pinehill,PCS,50000,TB. MUTIARA INDAH
MT-2026-0098,,Angklong Gerobak Orange,PCS,680000,TB. MUTIARA INDAH
MT-2026-0099,,S.Tangan argon,PCS,22000,TB. MUTIARA INDAH
MT-2026-0100,,Kaca mata vipro,PCS,15000,TB. MUTIARA INDAH
MT-2026-0101,,Sepatu Boots FORLI,PCS,60000,TB. MUTIARA INDAH
MT-2026-0102,,"Paku Rivet 4,8mm",PCS,65000,TB. MUTIARA INDAH
MT-2026-0103,CS,Besi 6,BATANG,29000,TB. PASIFIC II
MT-2026-0104,CS,Sloop,BATANG,170000,TB. PASIFIC II
MT-2026-0105,8mm,Besi 6,BATANG,29000,TB. PASIFIC II
MT-2026-0106,8mm,Rucika 3/4 pipa pvc,BATANG,35000,TB. PASIFIC II
MT-2026-0107,4 x 6,Kaso Kayu,BATANG,22000,TB. PASIFIC II
MT-2026-0108,SS 304,Bolt & Nut M16x50,PCS,19775,BAUT FASTNER
MT-2026-0109,PC75,Sewa Exavator PC75,DAYS,12620000,YANIS-DAMAN-LOKAL
MT-2026-0110,CS,Wiremesh M8x5400x2100,LEMBAR,599400,PT. KBBS
MT-2026-0111,,Tiang Precast beton 16x16x300,UNIT,270000,SAMSON BLOCK INDONESIA
MT-2026-0112,,- Jasa Bushing � 155 x 85mm,UNIT,500000,CV. ATAY LAJU SENTOSA
MT-2026-0113,,- Jasa Bushing � 155 x 70mm,UNIT,500000,CV. ATAY LAJU SENTOSA
MT-2026-0114,,- Jasa Bushing � 155 x (sisa potongan),UNIT,500000,CV. ATAY LAJU SENTOSA
MT-2026-0115,,- Jasa Bushing � 155 x 3500mm,UNIT,500000,CV. ATAY LAJU SENTOSA
MT-2026-0116,,Housing Seal (Matl S45L),UNIT,3500000,CV. ATAY LAJU SENTOSA
MT-2026-0117,,Triplek 4mm,LEMBAR,86000,YANIS-DAMAN-LOKAL
MT-2026-0118,,Paku 7,PCS,30000,YANIS-DAMAN-LOKAL
MT-2026-0119,,Paku 5,PCS,30000,YANIS-DAMAN-LOKAL
MT-2026-0120,4 x 6 Duren,Kaso Kayu,BATANG,37000,YANIS-DAMAN-LOKAL
MT-2026-0121,,Gembok,PCS,50000,YANIS-DAMAN-LOKAL
MT-2026-0122,,Grendel Gembok,PCS,15000,YANIS-DAMAN-LOKAL
MT-2026-0123,,Sendok Bata,PCS,47000,YANIS-DAMAN-LOKAL
MT-2026-0124,,Roskam,PCS,35000,YANIS-DAMAN-LOKAL
MT-2026-0125,,Paku 7,KG,30000,YANIS-DAMAN-LOKAL
MT-2026-0126,,Paku 10,KG,30000,YANIS-DAMAN-LOKAL
MT-2026-0127,,Paku 5,KG,30000,YANIS-DAMAN-LOKAL
